date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-01-19,35932.79,10000.0,0.0,0.0,10000.0,0.0,4,True,10000.0,0.0
2021-01-20,35501.38,10000.0,0.0,0.0,10000.0,0.0,4,True,10000.0,0.0
2021-01-21,30840.3,10000.0,0.0,0.0,10000.0,0.0,4,True,10000.0,0.0
2021-01-22,33008.02,10000.0,0.0,0.0,10000.0,0.0,4,True,10000.0,0.0
2021-01-23,32107.29,10000.0,0.0,0.0,10000.0,0.0,4,True,10000.0,0.0
2021-01-24,32283.66,0.0,0.3097542224146828,10000.0,10000.0,0.0,5,True,10000.0,0.0
2021-01-25,32275.27,0.0,0.3097542224146828,9997.401162073942,9997.401162073942,-0.0259883792605796,5,True,10000.0,-0.0259883792605796
2021-01-26,32516.52,0.0,0.3097542224146828,10072.129368231484,10072.129368231484,0.7212936823148447,5,True,10072.129368231484,0.0
2021-01-27,30423.05,0.0,0.3097542224146828,9423.668196233017,9423.668196233017,-5.763318037669833,4,True,10072.129368231484,-6.438173580690693
2021-01-28,33443.87,0.0,0.3097542224146828,10359.37994638774,10359.37994638774,3.5937994638774033,4,True,10359.37994638774,0.0
2021-01-29,34252.08,0.0,0.3097542224146828,10609.726406485512,10609.726406485512,6.097264064855117,3,True,10609.726406485512,0.0
2021-01-30,34317.82,0.0,0.3097542224146828,10630.089649067051,10630.089649067051,6.300896490670511,5,True,10630.089649067051,0.0
2021-01-31,33143.22,0.0,0.3097542224146828,10266.252339418766,10266.252339418766,2.662523394187665,5,True,10630.089649067051,-3.422711582495608
2021-02-01,33535.94,0.0,0.3097542224146828,10387.89901764546,10387.89901764546,3.8789901764546086,5,True,10630.089649067051,-2.2783498485626237
2021-02-02,35524.43,0.0,0.3097542224146828,11003.842191374832,11003.842191374832,10.038421913748332,5,True,11003.842191374832,0.0
2021-02-03,37677.34,0.0,0.3097542224146828,11670.715154353626,11670.715154353626,16.707151543536256,5,True,11670.715154353626,0.0
2021-02-04,36983.42,0.0,0.3097542224146828,11455.77050433563,11455.77050433563,14.557705043356307,4,True,11670.715154353626,-1.841743605042165
2021-02-05,38310.24,0.0,0.3097542224146828,11866.75860171988,11866.75860171988,18.667586017198794,4,True,11866.75860171988,0.0
2021-02-06,39267.01,0.0,0.3097542224146828,12163.122149099578,12163.122149099578,21.631221490995777,4,True,12163.122149099578,0.0
2021-02-07,38868.82,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,4,True,12163.122149099578,-1.0140573473763488
2021-02-08,46437.41,12039.781115276272,0.0,0.0,12039.781115276272,20.39781115276273,3,True,12163.122149099578,-1.0140573473763488
