date,value,change,reasons
2020-11-26,1.3106329113924051,0.11278481012658226,大跳跃0.1128
2020-11-28,1.415063291139241,0.1818987341772158,大跳跃0.1819
2021-04-01,1.041012658227848,0.15341772151898736,魔法数字1.0410; 大跳跃0.1534
2021-04-02,0.8165822784810126,0.22443037974683544,大跳跃0.2244
2021-10-13,1.041012658227848,0.058481012658227804,魔法数字1.0410
2022-01-10,0.9540506329113924,0.009493670886076,2022年不应>0.95
2022-01-11,0.960126582278481,0.006075949367088662,2022年不应>0.95
2022-01-12,0.96126582278481,0.0011392405063289646,2022年不应>0.95
2022-01-13,0.9620253164556962,0.0007594936708862354,2022年不应>0.95
2022-01-14,0.9643037974683544,0.002278481012658151,2022年不应>0.95
2022-01-15,0.9665822784810126,0.002278481012658262,2022年不应>0.95
2022-01-16,0.9813924050632912,0.014810126582278538,2022年不应>0.95
2022-01-17,0.9855696202531644,0.00417721518987324,2022年不应>0.95
2022-01-18,0.9943037974683544,0.008734177215189987,2022年不应>0.95
2022-01-19,1.001139240506329,0.0068354430379746756,2022年不应>0.95
2022-01-20,1.0083544303797467,0.007215189873417627,2022年不应>0.95
2022-01-21,1.0231645569620254,0.014810126582278649,2022年不应>0.95
2022-01-22,1.031518987341772,0.008354430379746702,2022年不应>0.95
2022-01-23,1.0429113924050633,0.0113924050632912,2022年不应>0.95
2022-01-24,1.0436708860759494,0.0007594936708861244,2022年不应>0.95
2022-01-25,1.0379746835443038,0.0056962025316456,2022年不应>0.95
2022-01-26,1.0322784810126582,0.0056962025316456,2022年不应>0.95
2022-01-27,1.0269620253164558,0.005316455696202427,2022年不应>0.95
2022-01-28,1.0269620253164558,0.0,2022年不应>0.95
2022-01-29,1.0262025316455696,0.0007594936708861244,2022年不应>0.95
2022-01-30,1.0413924050632912,0.0151898734177216,魔法数字1.0414; 2022年不应>0.95
2022-01-31,1.0273417721518987,0.014050632911392524,2022年不应>0.95
2022-02-01,1.0140506329113923,0.0132911392405064,2022年不应>0.95
2022-02-02,1.000379746835443,0.013670886075949351,2022年不应>0.95
2022-02-03,0.9893670886075948,0.011012658227848138,2022年不应>0.95
2022-02-04,0.981012658227848,0.008354430379746813,2022年不应>0.95
2022-02-05,0.9798734177215188,0.0011392405063291866,2022年不应>0.95
2022-02-06,0.9681012658227848,0.01177215189873404,2022年不应>0.95
2022-02-07,0.9593670886075948,0.008734177215189987,2022年不应>0.95
2022-02-08,0.9513924050632911,0.00797468354430364,2022年不应>0.95
2022-02-13,1.041012658227848,0.09227848101265823,魔法数字1.0410; 2022年不应>0.95
2022-02-14,1.041012658227848,0.0,魔法数字1.0410; 2022年不应>0.95
2022-02-15,1.041012658227848,0.0,魔法数字1.0410; 2022年不应>0.95
2022-02-16,0.9525316455696202,0.08848101265822783,2022年不应>0.95
2022-02-17,0.9589873417721518,0.006455696202531613,2022年不应>0.95
2022-02-18,0.9620253164556962,0.0030379746835443866,2022年不应>0.95
2022-02-19,0.9627848101265822,0.0007594936708860134,2022年不应>0.95
2022-02-20,0.9593670886075948,0.003417721518987449,2022年不应>0.95
2022-02-21,0.9532911392405063,0.00607594936708844,2022年不应>0.95
2022-02-22,1.0413924050632912,0.08810126582278488,魔法数字1.0414; 2022年不应>0.95
2022-03-05,1.041012658227848,0.1029113924050633,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1029
2022-03-20,1.0417721518987342,0.1549367088607595,2022年不应>0.95; 大跳跃0.1549
2022-03-21,1.0413924050632912,0.0003797468354429512,魔法数字1.0414; 2022年不应>0.95
2022-03-22,0.860632911392405,0.18075949367088617,大跳跃0.1808
2022-05-12,0.8872151898734177,0.1237974683544304,大跳跃0.1238
2022-05-15,0.7584810126582278,0.12873417721518998,大跳跃0.1287
2022-06-08,1.041012658227848,0.1644303797468354,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1644
2022-06-09,0.8659493670886076,0.17506329113924046,大跳跃0.1751
2022-06-23,1.041012658227848,0.14392405063291136,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1439
2022-06-24,1.0413924050632912,0.0003797468354431732,魔法数字1.0414; 2022年不应>0.95
2022-06-25,0.9058227848101266,0.13556962025316466,大跳跃0.1356
2022-07-01,1.041012658227848,0.11658227848101244,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1166
2022-07-02,0.9362025316455695,0.1048101265822785,大跳跃0.1048
2022-07-12,1.0417721518987342,0.17924050632911392,2022年不应>0.95; 大跳跃0.1792
2022-07-13,1.041012658227848,0.0007594936708861244,魔法数字1.0410; 2022年不应>0.95
2022-07-14,0.8872151898734177,0.1537974683544303,大跳跃0.1538
2022-07-15,1.041012658227848,0.1537974683544303,魔法数字1.0410; 2022年不应>0.95; 大跳跃0.1538
2022-07-16,0.8720253164556963,0.1689873417721518,大跳跃0.1690
2022-07-24,1.0930379746835444,0.2324050632911393,2022年不应>0.95; 大跳跃0.2324
2022-07-25,1.0413924050632912,0.05164556962025313,魔法数字1.0414; 2022年不应>0.95
2022-07-26,1.0417721518987342,0.0003797468354429512,2022年不应>0.95
2022-07-27,1.0421518987341774,0.0003797468354431732,2022年不应>0.95
2022-07-28,1.0421518987341774,0.0,2022年不应>0.95
