date,price,cash,btc_holdings,portfolio_value,signal
2021-01-01,29388.94,8000.0,0.0680528117039947,10000.0,DCA
2021-01-02,32203.64,6000.0,0.1301575924058036,10191.548249103234,DCA
2021-01-03,33063.48,4000.0,0.1906472928245133,10303.46295335744,DCA
2021-01-04,32030.55,2400.0,0.2405996039774595,10106.537645180217,DCA
2021-01-05,34038.29,1440.0,0.2688031359410217,10589.59909406992,DCA
2021-01-06,36849.86,11345.35792698762,0.0,11345.35792698762,SELL
2021-01-07,39479.41,11345.35792698762,0.0,11345.35792698762,SELL
2021-01-08,40636.24,9345.35792698762,0.0492171519805966,11345.35792698762,DCA
2021-01-09,40236.66,7345.357926987619,0.0989230669347702,11325.691737399213,DCA
2021-01-10,38202.08,5345.357926987619,0.1512762372333508,11124.42484387507,DCA
2021-01-11,35496.03,3345.357926987619,0.2076205664442513,10715.06378210976,DCA
2021-01-12,34058.4,2007.2147561925713,0.2469102327466921,10416.582227172508,DCA
2021-01-13,37380.85,1204.328853715543,0.2683887679452504,11236.929129961756,DCA
2021-01-14,39155.58,722.5973122293256,0.2806917792015315,11713.24672809723,DCA
2021-01-15,36790.17,433.5583873375953,0.2885481964154702,11049.295586656131,DCA
2021-01-16,36025.26,260.13503240255716,0.2933621340507583,10828.58218573598,DCA
2021-01-17,35839.51,156.0810194415343,0.2962654665171068,10774.09016933605,DCA
2021-01-18,36623.04,156.0810194415343,0.2962654665171068,11006.223050316195,DCA
2021-01-19,35932.79,156.0810194415343,0.2962654665171068,10801.725812052766,DCA
2021-01-20,35501.38,156.0810194415343,0.2962654665171068,10673.91392714262,DCA
2021-01-21,30840.3,156.0810194415343,0.2962654665171068,9292.996886469064,DCA
2021-01-22,33008.02,156.0810194415343,0.2962654665171068,9935.217463547526,DCA
2021-01-23,32107.29,156.0810194415343,0.2962654665171068,9668.362269891571,DCA
2021-01-24,32283.66,31.21620388830685,0.3001332069019711,9720.614610221195,BUY
2021-01-25,32275.27,31.21620388830685,0.3001332069019711,9718.096492615288,BUY
2021-01-26,32516.52,31.21620388830685,0.3001332069019711,9790.503628780389,BUY
2021-01-27,30423.05,31.21620388830685,0.3001332069019711,9162.183764127318,DCA
2021-01-28,33443.87,31.21620388830685,0.3001332069019711,10068.832158200932,DCA
2021-01-29,34252.08,31.21620388830685,0.3001332069019711,10311.402817351174,DCA
2021-01-30,34317.82,31.21620388830685,0.3001332069019711,10331.133574372909,BUY
2021-01-31,33143.22,31.21620388830685,0.3001332069019711,9978.597109545854,BUY
2021-02-01,33535.94,31.21620388830685,0.3001332069019711,10096.465422560395,BUY
2021-02-02,35524.43,31.21620388830685,0.3001332069019711,10693.277303152896,BUY
2021-02-03,37677.34,31.21620388830685,0.3001332069019711,11339.43708562422,BUY
2021-02-04,36983.42,31.21620388830685,0.3001332069019711,11131.168650690804,DCA
2021-02-05,38310.24,31.21620388830685,0.3001332069019711,11529.391392272477,DCA
2021-02-06,39267.01,31.21620388830685,0.3001332069019711,11816.549840640077,DCA
2021-02-07,38868.82,31.21620388830685,0.3001332069019711,11697.039798983778,DCA
2021-02-08,46437.41,31.21620388830685,0.3001332069019711,13968.62498740997,DCA
2021-02-09,46509.57,31.21620388830685,0.3001332069019711,13990.282599620015,DCA
2021-02-10,44854.95,31.21620388830685,0.3001332069019711,13493.676192815874,DCA
2021-02-11,48006.18,31.21620388830685,0.3001332069019711,14439.464958401571,DCA
2021-02-12,47435.54,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-13,47222.32,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-14,48652.87,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-15,47936.51,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-16,49184.63,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-17,52154.91,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-18,51591.61,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-19,55933.47,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-20,55900.84,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-21,57469.95,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-22,54121.17,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-23,48898.7,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-24,49738.17,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-25,47082.87,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-26,46324.5,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-27,46191.39,14268.196945215032,0.0,14268.196945215032,SELL
2021-02-28,45261.03,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-01,49635.07,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-02,48501.21,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-03,50392.55,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-04,48363.74,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-05,48775.37,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-06,48892.8,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-07,50964.18,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-08,52405.02,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-09,54928.7,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-10,55893.31,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-11,57809.41,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-12,57256.22,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-13,61179.79,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-14,58998.89,14268.196945215032,0.0,14268.196945215032,SELL
2021-03-15,55665.01,12268.196945215032,0.0359292129831648,14268.196945215032,DCA
2021-03-16,56925.01,10268.196945215032,0.0710631549886207,14313.46775357382,DCA
2021-03-17,58909.0,8268.196945215033,0.1050138246655801,14454.456342439697,DCA
2021-03-18,57643.32,6268.196945215033,0.1397099525083206,14321.542444836963,DCA
2021-03-19,58060.21,4268.196945215033,0.1741569515804907,14379.786126938156,DCA
2021-03-20,58101.34,2560.91816712902,0.2035414507690811,14386.949202356664,DCA
2021-03-21,57374.95,1536.5509002774118,0.2213953620465917,14239.09872793251,DCA
2021-03-22,54095.36,921.930540166447,0.2327571564798105,13513.01271251813,DCA
2021-03-23,54355.45,553.1583240998682,0.2395416135318002,13573.55052134696,DCA
2021-03-24,52303.02,331.8949944599209,0.2437720256502582,13081.908127485887,DCA
2021-03-25,51336.09,199.13699667595253,0.2463580815377239,12846.197642723884,DCA
2021-03-26,55055.43,199.13699667595253,0.2463580815377239,13762.487109710402,DCA
2021-03-27,55863.73,199.13699667595253,0.2463580815377239,13961.618347017346,DCA
2021-03-28,55781.01,199.13699667595253,0.2463580815377239,13941.239606512543,DCA
2021-03-29,57626.1,199.13699667595253,0.2463580815377239,14395.792439176985,DCA
2021-03-30,58781.54,199.13699667595253,0.2463580815377239,14680.44442090893,DCA
2021-03-31,58793.8,199.13699667595253,0.2463580815377239,14683.464770988585,DCA
2021-04-01,58730.82,199.13699667595253,0.2463580815377239,14667.949139013335,DCA
2021-04-02,58987.8,199.13699667595253,0.2463580815377239,14731.258238806902,DCA
2021-04-03,57074.97,199.13699667595253,0.2463580815377239,14260.017109699098,DCA
2021-04-04,58219.43,199.13699667595253,0.2463580815377239,14541.96407969576,DCA
2021-04-05,59119.56,199.13699667595253,0.2463580815377239,14763.718379630312,DCA
2021-04-06,58010.35,199.13699667595253,0.2463580815377239,14490.455532007853,DCA
2021-04-07,55951.98,199.13699667595253,0.2463580815377239,13983.35944771305,DCA
2021-04-08,58084.46,199.13699667595253,0.2463580815377239,14508.713129430616,DCA
2021-04-09,58106.85,199.13699667595253,0.2463580815377239,14514.229086876245,DCA
2021-04-10,59784.8,199.13699667595253,0.2463580815377239,14927.605629792468,DCA
2021-04-11,59980.45,199.13699667595253,0.2463580815377239,14975.805588445322,DCA
2021-04-12,59845.76,199.13699667595253,0.2463580815377239,14942.623618443007,DCA
2021-04-13,63558.48,199.13699667595253,0.2463580815377239,15857.282194929749,DCA
2021-04-14,62964.27,199.13699667595253,0.2463580815377239,15710.893759299212,DCA
2021-04-15,63233.03,199.13699667595253,0.2463580815377239,15777.104957293292,DCA
2021-04-16,61416.41,199.13699667595253,0.2463580815377239,15329.565939210235,DCA
2021-04-17,60056.07,199.13699667595253,0.2463580815377239,14994.435186571209,DCA
2021-04-18,56246.82,199.13699667595253,0.2463580815377239,14055.995664473632,DCA
2021-04-19,55680.11,199.13699667595253,0.2463580815377239,13916.382076085389,DCA
2021-04-20,56496.06,199.13699667595253,0.2463580815377239,14117.397952716094,DCA
2021-04-21,53803.25,199.13699667595253,0.2463580815377239,13454.002447170496,DCA
2021-04-22,51717.61,199.13699667595253,0.2463580815377239,12940.188177992157,DCA
2021-04-23,51178.03,199.13699667595253,0.2463580815377239,12807.258284356032,DCA
2021-04-24,50115.99,199.13699667595253,0.2463580815377239,12545.616147439709,DCA
2021-04-25,49120.97,199.13699667595253,0.2463580815377239,12300.484929148042,DCA
2021-04-26,54062.29,199.13699667595253,0.2463580815377239,13517.819044612028,DCA
2021-04-27,55073.48,199.13699667595253,0.2463580815377239,13766.93387308216,DCA
2021-04-28,54877.94,199.13699667595253,0.2463580815377239,13718.761013818272,DCA
2021-04-29,53581.58,199.13699667595253,0.2463580815377239,13399.39225123603,DCA
2021-04-30,57757.97,199.13699667595253,0.2463580815377239,14428.279679389365,DCA
2021-05-01,57843.16,199.13699667595253,0.2463580815377239,14449.266924355565,DCA
2021-05-02,56623.51,199.13699667595253,0.2463580815377239,14148.796290208078,DCA
2021-05-03,57195.07,199.13699667595253,0.2463580815377239,14289.604715291778,DCA
2021-05-04,53244.07,199.13699667595253,0.2463580815377239,13316.243935136232,DCA
2021-05-05,57506.88,199.13699667595253,0.2463580815377239,14366.421628696056,DCA
2021-05-06,56441.94,199.13699667595253,0.2463580815377239,14104.065053343273,DCA
2021-05-07,57374.33,199.13699667595253,0.2463580815377239,14333.76686498823,DCA
2021-05-08,58943.13,199.13699667595253,0.2463580815377239,14720.253423304612,DCA
2021-05-09,58294.18,199.13699667595253,0.2463580815377239,14560.379346290703,DCA
2021-05-10,55870.01,199.13699667595253,0.2463580815377239,13963.1654757694,DCA
2021-05-11,56747.52,199.13699667595253,0.2463580815377239,14179.34715589957,DCA
2021-05-12,49504.08,199.13699667595253,0.2463580815377239,12394.86717376596,DCA
2021-05-13,49700.6,199.13699667595253,0.2463580815377239,12443.281463949752,DCA
2021-05-14,49887.96,199.13699667595253,0.2463580815377239,12489.43911410666,DCA
2021-05-15,46775.29,199.13699667595253,0.2463580815377239,11722.607704446633,DCA
2021-05-16,46490.71,199.13699667595253,0.2463580815377239,11652.499121602628,DCA
2021-05-17,43552.14,199.13699667595253,0.2463580815377239,10928.558653938318,DCA
2021-05-18,42886.02,199.13699667595253,0.2463580815377239,10764.45460866441,DCA
2021-05-19,36771.87,199.13699667595253,0.2463580815377239,9258.184344430536,DCA
2021-05-20,40597.4,199.13699667595253,0.2463580815377239,10200.634576095545,DCA
2021-05-21,37350.39,199.13699667595253,0.2463580815377239,9400.70742176174,DCA
2021-05-22,37491.5,199.13699667595253,0.2463580815377239,9435.471010647529,DCA
2021-05-23,34716.84,199.13699667595253,0.2463580815377239,8751.911096128066,DCA
2021-05-24,38837.76,199.13699667595253,0.2463580815377239,9767.133041498504,DCA
2021-05-25,38387.36,199.13699667595253,0.2463580815377239,9656.173361573914,DCA
2021-05-26,39295.08,199.13699667595253,0.2463580815377239,9879.797519347336,DCA
2021-05-27,38538.84,199.13699667595253,0.2463580815377239,9693.491683765247,DCA
2021-05-28,35680.92,199.13699667595253,0.2463580815377239,8989.419995376955,DCA
