date,whale_holdings_change
2020-11-01,0.0096044303797468
2020-11-02,0.012025316455696168
2020-11-03,0.0170358649789029
2020-11-04,0.020263713080168735
2020-11-05,0.020801687763713037
2020-11-06,0.0195358649789029
2020-11-07,0.018438818565400767
2020-11-08,0.0194198312236286
2020-11-09,0.0205221518987341
2020-11-10,0.021756329113924
2020-11-11,0.0219778481012658
2020-11-12,0.021677215189873405
2020-11-13,0.020601265822784768
2020-11-14,0.018713080168776302
2020-11-15,0.015791139240506267
2020-11-16,0.012890295358649733
2020-11-17,0.008660337552742568
2020-11-18,0.004704641350210901
2020-11-19,0.00022151898734173452
2020-11-20,-0.002710970464134999
2020-11-21,-0.004324894514767866
2020-11-22,-0.005063291139240432
2020-11-23,-0.005126582278480966
2020-11-24,-0.004746835443037932
2020-11-25,-0.004883966244725699
2020-11-26,-0.006677215189873365
2020-11-27,-0.009272151898734133
2020-11-28,-0.011265822784810099
2020-11-29,-0.012331223628691967
2020-11-30,-0.013185654008438798
2020-12-01,-0.013744725738396598
2020-12-02,-0.013945147679324865
2020-12-03,-0.014156118143459864
2020-12-04,-0.01379746835443033
2020-12-05,-0.011698312236286866
2020-12-06,-0.009388185654008398
2020-12-07,-0.007531645569620199
2020-12-08,-0.007805907172995732
2020-12-09,-0.008322784810126532
2020-12-10,-0.009462025316455631
2020-12-11,-0.0119725738396624
2020-12-12,-0.015527426160337499
2020-12-13,-0.01867088607594933
2020-12-14,-0.019219409282700366
2020-12-15,-0.01832278481012653
2020-12-16,-0.0170569620253164
2020-12-17,-0.016097046413502066
2020-12-18,-0.014535864978902899
2020-12-19,-0.013428270042194032
2020-12-20,-0.012900843881856465
2020-12-21,-0.013396624472573766
2020-12-22,-0.014430379746835365
2020-12-23,-0.015179324894514698
2020-12-24,-0.015907172995780528
2020-12-25,-0.0160443037974683
2020-12-26,-0.016128691983122296
2020-12-27,-0.015253164556961967
2020-12-28,-0.01427215189873413
2020-12-29,-0.013291139240506298
2020-12-30,-0.011772151898734132
2020-12-31,-0.010443037974683498
2021-01-01,-0.009018987341772098
2021-01-02,-0.008718354430379696
2021-01-03,-0.007958860759493598
2021-01-04,-0.008127637130801597
2021-01-05,-0.009166666666666597
2021-01-06,-0.010348101265822732
2021-01-07,-0.010369198312236266
2021-01-08,-0.009504219409282665
2021-01-09,-0.008839662447257332
