date,price,volume,sth_mvrv,lth_net_change_30d,whale_holdings_change,mvrv_score,whale_score,lth_score,total_score,strategy_signal
2020-10-10,11301.57,296925751.27,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-11,11375.51,202131016.49,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-12,11539.76,478557074.68,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-13,11427.29,383360256.66,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-14,11429.3,259711904.03,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-15,11508.31,377801262.9,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-16,11326.25,332320579.31,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-17,11367.65,112306061.3,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-18,11513.33,131886570.58,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-19,11756.88,456404609.75,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-20,11921.78,576128149.71,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-21,12813.11,1296152945.69,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-22,12990.25,739591002.3,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-23,12937.2,416662855.54,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-24,13126.13,273005904.67,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-25,13041.21,368884232.62,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-26,13069.43,460984686.3,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-27,13646.02,603406480.39,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-28,13285.97,434942187.78,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-29,13462.18,555737562.11,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-30,13565.95,756044940.71,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-10-31,13803.41,600104833.89,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-11-01,13761.72,286724152.06,1.4777215189873418,-37974.68354430387,0.0096044303797468,0,1,0,1,SELL
2020-11-02,13571.24,453096297.52,1.4841772151898736,-29113.924050632893,0.0120253164556961,0,2,0,2,SELL
2020-11-03,14023.78,300271386.78,1.5035443037974685,-6329.1139240506745,0.0170358649789029,0,2,0,2,SELL
2020-11-04,14157.73,423118194.37,1.5149367088607597,-8227.848101265816,0.0202637130801687,0,2,0,2,SELL
2020-11-05,15599.92,625288741.44,1.5217721518987342,-7594.93670886074,0.020801687763713,0,2,0,2,SELL
2020-11-06,15590.62,538014394.46,1.51,67721.51898734175,0.0195358649789029,0,2,0,2,SELL
2020-11-07,14838.16,388303730.2,1.478481012658228,68354.43037974683,0.0184388185654007,0,2,0,2,SELL
2020-11-08,15488.25,285202500.11,1.4560759493670887,-270253.164556962,0.0194198312236286,0,2,0,2,SELL
2020-11-09,15335.03,492570531.42,1.4556962025316456,-314240.50632911385,0.0205221518987341,0,2,0,2,SELL
2020-11-10,15313.73,352628988.82,1.4632911392405064,-358227.8481012657,0.021756329113924,0,2,0,2,SELL
2020-11-11,15707.08,717920492.19,1.4727848101265824,-358227.8481012657,0.0219778481012658,0,2,0,2,SELL
2020-11-12,16306.53,1074746061.94,1.4724050632911394,67721.51898734175,0.0216772151898734,0,2,0,2,SELL
2020-11-13,16332.85,694320640.17,1.4625316455696202,68354.43037974683,0.0206012658227847,0,2,0,2,SELL
2020-11-14,16075.95,452657737.75,1.449240506329114,67721.51898734175,0.0187130801687763,0,2,0,2,SELL
2020-11-15,15964.7,286912254.78,1.4177215189873418,68354.43037974683,0.0157911392405062,0,2,0,2,SELL
2020-11-16,16721.46,685608661.41,1.4070886075949367,69620.25316455698,0.0128902953586497,0,2,0,2,SELL
2020-11-17,17681.54,1072294334.69,1.3801265822784812,68354.43037974683,0.0086603375527425,0,1,0,1,SELL
2020-11-18,17786.27,1441862086.0,1.358101265822785,-153797.46835443046,0.0047046413502109,0,1,0,1,SELL
2020-11-19,17824.64,859856045.56,1.3520253164556963,-149367.08860759504,0.0002215189873417,0,1,0,1,SELL
2020-11-20,18672.78,939934212.29,1.3527848101265822,-140506.32911392412,-0.0027109704641349,0,2,0,2,SELL
2020-11-21,18704.06,705040526.65,1.3664556962025316,-63291.13924050637,-0.0043248945147678,0,2,0,2,SELL
2020-11-22,18430.59,796767991.89,1.3839240506329116,13924.050632911414,-0.0050632911392404,0,2,0,2,SELL
2020-11-23,18385.74,902518528.75,1.3983544303797468,17088.607594936708,-0.0051265822784809,0,2,0,2,SELL
2020-11-24,19157.16,1403472685.29,1.4143037974683546,45253.16455696203,-0.0047468354430379,0,2,0,2,SELL
2020-11-25,18725.76,1141495120.46,1.3929430379746837,73417.72151898735,-0.0048839662447256,0,2,0,2,SELL
2020-11-26,17175.86,2220672632.83,1.3194620253164555,74050.63291139243,-0.0066772151898733,0,2,0,2,SELL
2020-11-27,17155.0,1034426524.1,1.298006329113924,71518.98734177212,-0.0092721518987341,0,2,0,2,SELL
2020-11-28,17739.9,605284901.68,1.3674050632911392,74050.63291139243,-0.01126582278481,0,0,0,0,SELL
2020-11-29,18199.23,489679989.73,1.4063291139240506,75316.45569620248,-0.0123312236286919,0,0,0,0,SELL
2020-11-30,19686.87,1493787961.07,1.4021518987341772,118354.4303797468,-0.0131856540084387,0,0,0,0,SELL
2020-12-01,18792.03,1743191338.61,1.4029113924050634,118987.34177215188,-0.0137447257383965,0,0,0,0,SELL
2020-12-02,19226.19,903817773.96,1.4078481012658228,108227.84810126584,-0.0139451476793248,0,0,0,0,SELL
2020-12-03,19448.44,747088833.15,1.3941772151898737,104430.37974683548,-0.0141561181434598,0,0,0,0,SELL
2020-12-04,18665.0,804366524.28,1.3748101265822783,104430.37974683548,-0.0137974683544303,0,0,0,0,SELL
2020-12-05,19156.84,388466883.76,1.369113924050633,103164.55696202532,-0.0116983122362868,0,0,0,0,SELL
2020-12-06,19378.94,405708588.31,1.3736708860759494,159493.67088607597,-0.0093881856540083,0,2,1,3,DCA
2020-12-07,19181.41,477334574.93,1.3869620253164556,162025.3164556962,-0.0075316455696201,0,2,1,3,DCA
2020-12-08,18323.52,866543428.89,1.396075949367089,162025.3164556962,-0.0078059071729957,0,2,1,3,DCA
2020-12-09,18549.92,1057335071.17,1.399493670886076,68987.3417721519,-0.0083227848101265,0,2,0,2,SELL
2020-12-10,18250.47,684802762.09,1.4059493670886076,-122151.89873417716,-0.0094620253164556,0,2,0,2,SELL
2020-12-11,18034.86,809318887.79,1.418101265822785,163924.0506329114,-0.0119725738396624,0,0,1,1,SELL
2020-12-12,18814.98,484239535.46,1.4260759493670887,163924.0506329114,-0.0155274261603374,0,0,1,1,SELL
2020-12-13,19169.05,592021817.57,1.4245569620253165,165189.87341772148,-0.0186708860759493,0,0,1,1,SELL
2020-12-14,19274.69,456841099.92,1.4177215189873418,168354.43037974686,-0.0192194092827003,0,0,1,1,SELL
2020-12-15,19441.96,819839290.04,1.3835443037974684,168987.34177215194,-0.0183227848101265,0,0,1,1,SELL
2020-12-16,21352.13,1949841494.52,1.3546835443037974,168987.34177215194,-0.0170569620253164,0,0,1,1,SELL
2020-12-17,22822.17,3194654467.93,1.320886075949367,166455.69620253163,-0.016097046413502,0,0,1,1,SELL
2020-12-18,23135.57,1362467582.47,1.2851898734177216,68354.43037974683,-0.0145358649789028,0,0,0,0,SELL
2020-12-19,23844.72,1268054141.3,1.279113924050633,-121518.98734177218,-0.013428270042194,0,0,0,0,SELL
2020-12-20,23467.06,1014224949.67,1.258987341772152,137341.77215189874,-0.0129008438818564,0,0,0,0,SELL
