date,type,price,amount,btc,cash_after,btc_after
2021-01-01,DCA,29388.94,2000.0,0.0680528117039947,8000.0,0.0680528117039947
2021-01-02,DCA,32203.64,2000.0,0.0621047807018088,6000.0,0.1301575924058036
2021-01-03,DCA,33063.48,2000.0,0.0604897004187097,4000.0,0.1906472928245133
2021-01-04,DCA,32030.55,1600.0,0.0499523111529461,2400.0,0.2405996039774595
2021-01-05,DCA,34038.29,960.0,0.0282035319635622,1440.0,0.2688031359410217
2021-01-06,SELL_ALL,36849.86,9905.35792698762,0.2688031359410217,11345.35792698762,0.0
2021-01-08,DCA,40636.24,2000.0,0.0492171519805966,9345.35792698762,0.0492171519805966
2021-01-09,DCA,40236.66,2000.0,0.0497059149541736,7345.357926987619,0.0989230669347702
2021-01-10,DCA,38202.08,2000.0,0.0523531702985805,5345.357926987619,0.1512762372333508
2021-01-11,DCA,35496.03,2000.0,0.0563443292109004,3345.357926987619,0.2076205664442513
2021-01-12,DCA,34058.4,1338.1431707950478,0.0392896663024407,2007.2147561925713,0.2469102327466921
2021-01-13,DCA,37380.85,802.8859024770286,0.0214785351985583,1204.328853715543,0.2683887679452504
2021-01-14,DCA,39155.58,481.7315414862171,0.0123030112562811,722.5973122293256,0.2806917792015315
2021-01-15,DCA,36790.17,289.03892489173023,0.0078564172139386,433.5583873375953,0.2885481964154702
2021-01-16,DCA,36025.26,173.42335493503813,0.004813937635288,260.13503240255716,0.2933621340507583
2021-01-17,DCA,35839.51,104.05401296102286,0.0029033324663485,156.0810194415343,0.2962654665171068
2021-01-24,BUY,32283.66,124.86481555322744,0.0038677403848642,31.21620388830685,0.3001332069019711
2021-02-12,SELL_ALL,47435.54,14236.980741326726,0.3001332069019711,14268.196945215032,0.0
2021-03-15,DCA,55665.01,2000.0,0.0359292129831648,12268.196945215032,0.0359292129831648
2021-03-16,DCA,56925.01,2000.0,0.0351339420054559,10268.196945215032,0.0710631549886207
2021-03-17,DCA,58909.0,2000.0,0.0339506696769593,8268.196945215033,0.1050138246655801
2021-03-18,DCA,57643.32,2000.0,0.0346961278427404,6268.196945215033,0.1397099525083206
2021-03-19,DCA,58060.21,2000.0,0.03444699907217,4268.196945215033,0.1741569515804907
2021-03-20,DCA,58101.34,1707.2787780860135,0.0293844991885903,2560.91816712902,0.2035414507690811
2021-03-21,DCA,57374.95,1024.367266851608,0.0178539112775106,1536.5509002774118,0.2213953620465917
2021-03-22,DCA,54095.36,614.6203601109647,0.0113617944332187,921.930540166447,0.2327571564798105
2021-03-23,DCA,54355.45,368.7722160665789,0.0067844570519897,553.1583240998682,0.2395416135318002
2021-03-24,DCA,52303.02,221.2633296399473,0.0042304121184579,331.8949944599209,0.2437720256502582
