date,type,price,amount,btc,cash_after,btc_after
2021-01-01,DCA,29388.94,2000.0,0.06805281170399477,8000.0,0.06805281170399477
2021-01-02,DCA,32203.64,2000.0,0.062104780701808866,6000.0,0.13015759240580363
2021-01-03,DCA,33063.48,2000.0,0.0604897004187097,4000.0,0.19064729282451331
2021-01-04,DCA,32030.55,1600.0,0.049952311152946176,2400.0,0.2405996039774595
2021-01-05,DCA,34038.29,960.0,0.02820353196356221,1440.0,0.26880313594102173
2021-01-06,SELL_ALL,36849.86,9905.357926987619,0.26880313594102173,11345.357926987619,0.0
2021-01-08,DCA,40636.24,2000.0,0.04921715198059663,9345.357926987619,0.04921715198059663
2021-01-09,DCA,40236.66,2000.0,0.049705914954173626,7345.357926987619,0.09892306693477027
2021-01-10,DCA,38202.08,2000.0,0.052353170298580595,5345.357926987619,0.15127623723335087
2021-01-11,DCA,35496.03,2000.0,0.05634432921090049,3345.357926987619,0.20762056644425136
2021-01-12,DCA,34058.4,1338.1431707950478,0.03928966630244074,2007.2147561925713,0.2469102327466921
2021-01-13,DCA,37380.85,802.8859024770286,0.021478535198558316,1204.3288537155427,0.2683887679452504
2021-01-14,DCA,39155.58,481.7315414862171,0.01230301125628115,722.5973122293256,0.28069177920153154
2021-01-15,DCA,36790.17,289.03892489173023,0.007856417213938675,433.5583873375953,0.2885481964154702
2021-01-16,DCA,36025.26,173.42335493503813,0.004813937635288076,260.13503240255716,0.2933621340507583
2021-01-17,DCA,35839.51,104.05401296102286,0.0029033324663485316,156.0810194415343,0.29626546651710683
2021-01-24,BUY,32283.66,124.86481555322744,0.0038677403848642765,31.21620388830685,0.3001332069019711
2021-02-12,SELL_ALL,47435.54,14236.980741326726,0.3001332069019711,14268.196945215033,0.0
2021-03-15,DCA,55665.01,2000.0,0.03592921298316483,12268.196945215033,0.03592921298316483
2021-03-16,DCA,56925.01,2000.0,0.03513394200545595,10268.196945215033,0.07106315498862079
2021-03-17,DCA,58909.0,2000.0,0.03395066967695938,8268.196945215033,0.10501382466558017
2021-03-18,DCA,57643.32,2000.0,0.034696127842740496,6268.196945215033,0.13970995250832066
2021-03-19,DCA,58060.21,2000.0,0.03444699907217008,4268.196945215033,0.17415695158049074
2021-03-20,DCA,58101.34,1707.2787780860135,0.029384499188590377,2560.91816712902,0.20354145076908112
2021-03-21,DCA,57374.95,1024.367266851608,0.017853911277510622,1536.5509002774118,0.22139536204659174
2021-03-22,DCA,54095.36,614.6203601109647,0.01136179443321876,921.930540166447,0.2327571564798105
2021-03-23,DCA,54355.45,368.77221606657884,0.006784457051989798,553.1583240998682,0.23954161353180028
2021-03-24,DCA,52303.02,221.2633296399473,0.004230412118457927,331.8949944599209,0.2437720256502582
2021-03-25,DCA,51336.09,132.75799778396836,0.0025860558874656867,199.13699667595253,0.2463580815377239
2021-07-06,SELL_ALL,34237.66,8434.72423394087,0.2463580815377239,8633.861230616822,0.0
2021-08-17,DCA,44684.43,2000.0,0.04475831962050316,6633.861230616822,0.04475831962050316
2021-08-18,DCA,44714.54,2000.0,0.04472818014006182,4633.861230616822,0.08948649976056498
2021-08-19,DCA,46761.49,1853.5444922467286,0.03963826841802365,2780.316738370093,0.12912476817858864
2021-08-20,DCA,49336.45,1112.1266953480372,0.022541684603331558,1668.1900430220558,0.1516664527819202
2021-08-21,DCA,48867.87,667.2760172088224,0.013654698213955763,1000.9140258132334,0.16532115099587597
2021-08-22,DCA,49289.71,400.36561032529335,0.008122701682060888,600.54841548794,0.17344385267793686
2021-08-23,DCA,49521.06,240.219366195176,0.004850852671473027,360.329049292764,0.1782947053494099
2021-08-24,DCA,47690.54,144.13161971710562,0.003022226624339033,216.1974295756584,0.18131693197374893
2021-09-01,SELL_ALL,48840.01,8855.520770767218,0.18131693197374893,9071.718200342877,0.0
2021-09-05,DCA,51784.16,2000.0,0.03862184884335287,7071.718200342877,0.03862184884335287
2021-09-06,SELL_ALL,52693.32,2035.1134400944225,0.03862184884335287,9106.8316404373,0.0
2021-09-13,DCA,44958.56,2000.0,0.044485410564751186,7106.8316404373,0.044485410564751186
2021-09-14,DCA,47129.01,2000.0,0.042436707242524296,5106.8316404373,0.08692211780727549
2021-09-15,DCA,48148.45,2000.0,0.041538201125892946,3106.8316404373,0.12846031893316845
2021-09-16,DCA,47764.47,1242.73265617492,0.02601793040255487,1864.0989842623799,0.15447824933572332
2021-09-17,SELL_ALL,47297.98,7306.509147516055,0.15447824933572332,9170.608131778436,0.0
2021-10-02,DCA,47669.02,2000.0,0.041955970565369295,7170.608131778436,0.041955970565369295
2021-10-03,DCA,48234.05,2000.0,0.04146448411443783,5170.608131778436,0.08342045467980713
2021-10-04,DCA,49276.91,2000.0,0.04058696050543753,3170.6081317784356,0.12400741518524466
2021-10-05,DCA,51504.27,1268.2432527113742,0.024624040933137668,1902.3648790670613,0.14863145611838233
2021-10-06,DCA,55345.85,760.9459516268246,0.013748925197224808,1141.4189274402368,0.16238038131560714
2021-10-07,DCA,53797.21,456.5675709760947,0.00848682619370214,684.8513564641421,0.17086720750930928
2021-10-08,SELL_ALL,53949.29,9218.164529409903,0.17086720750930928,9903.015885874045,0.0
2021-10-09,DCA,54968.04,2000.0,0.03638477922807508,7903.015885874045,0.03638477922807508
2021-10-10,DCA,54700.24,2000.0,0.036562910875710966,5903.015885874045,0.07294769010378604
2021-10-11,DCA,57498.8,2000.0,0.034783334608722266,3903.015885874045,0.10773102471250831
2021-10-12,DCA,56010.9,1561.206354349618,0.02787325956822008,2341.8095315244273,0.1356042842807284
2021-10-13,DCA,57369.0,936.7238126097709,0.016328048468855494,1405.0857189146564,0.1519323327495839
2021-10-14,DCA,57359.21,562.0342875658625,0.0097985011921514,843.0514313487938,0.1617308339417353
2021-10-15,DCA,61684.96,337.22057253951755,0.005466819992093981,505.83085880927626,0.16719765393382927
2021-10-16,DCA,60877.77,202.3323435237105,0.0033235833625921336,303.49851528556576,0.1705212372964214
2021-10-17,DCA,61520.54,121.39940611422631,0.0019733150280252143,182.09910917133945,0.17249455232444663
2022-04-23,BUY,39445.97,145.67928733707157,0.0036931348712446813,36.41982183426788,0.1761876871956913
2022-05-31,SELL_ALL,31782.16,5599.625264483412,0.1761876871956913,5636.04508631768,0.0
2022-06-03,DCA,29680.3,2000.0,0.06738476363109537,3636.04508631768,0.06738476363109537
2022-06-04,DCA,29845.48,1454.4180345270722,0.0487316013857734,2181.6270517906078,0.11611636501686877
2022-06-05,DCA,29897.9,872.6508207162432,0.02918769614977116,1308.9762310743645,0.14530406116663994
2022-06-06,DCA,31353.78,523.5904924297458,0.016699437593481418,785.3857386446186,0.16200349876012135
2022-06-07,DCA,31111.75,314.15429545784747,0.010097609278097422,471.2314431867712,0.17210110803821876
2022-06-08,DCA,30189.27,188.49257727470848,0.0062436944409291276,282.7388659120627,0.17834480247914788
2022-06-09,DCA,30082.94,113.09554636482508,0.0037594578975600488,169.6433195472376,0.18210426037670793
2022-07-27,SELL_ALL,22960.19,4181.148418058686,0.18210426037670793,4350.791737605923,0.0
2022-08-01,DCA,23271.57,1740.3166950423692,0.07478295168922292,2610.475042563554,0.07478295168922292
2022-08-02,DCA,22991.49,1044.1900170254216,0.0454163700145324,1566.2850255381322,0.12019932170375532
2022-08-03,DCA,22825.25,626.5140102152529,0.02744828688471114,939.7710153228793,0.14764760858846646
2022-08-04,DCA,22622.99,375.90840612915173,0.01661621236313819,563.8626091937276,0.16426382095160463
2022-08-05,DCA,23319.22,225.54504367749107,0.009672066376040496,338.3175655162365,0.17393588732764512
2022-08-06,DCA,22956.4,135.32702620649462,0.005894958539078192,202.9905393097419,0.17983084586672332
2022-08-15,SELL_ALL,24101.69,4334.227299517546,0.17983084586672332,4537.217838827288,0.0
2022-08-16,DCA,23858.64,1814.8871355309152,0.07606833983541875,2722.3307032963726,0.07606833983541875
2022-08-17,DCA,23338.03,1088.932281318549,0.04665913452500271,1633.3984219778235,0.12272747436042146
2022-08-18,DCA,23201.51,653.3593687911294,0.028160208917054515,980.0390531866941,0.15088768327747598
