date,sth_mvrv
2020-11-01,1.4777215189873418
2020-11-02,1.4841772151898736
2020-11-03,1.5035443037974685
2020-11-04,1.5149367088607597
2020-11-05,1.5217721518987342
2020-11-06,1.51
2020-11-07,1.478481012658228
2020-11-08,1.4560759493670887
2020-11-09,1.4556962025316456
2020-11-10,1.4632911392405064
2020-11-11,1.4727848101265824
2020-11-12,1.4724050632911394
2020-11-13,1.4625316455696202
2020-11-14,1.449240506329114
2020-11-15,1.4177215189873418
2020-11-16,1.4070886075949367
2020-11-17,1.3801265822784812
2020-11-18,1.358101265822785
2020-11-19,1.3520253164556963
2020-11-20,1.3527848101265822
2020-11-21,1.3664556962025316
2020-11-22,1.3839240506329116
2020-11-23,1.3983544303797468
2020-11-24,1.4143037974683546
2020-11-25,1.4234177215189874
2020-11-26,1.3106329113924051
2020-11-27,1.233164556962025
2020-11-28,1.415063291139241
2020-11-29,1.4063291139240506
2020-11-30,1.4021518987341772
2020-12-01,1.4029113924050634
2020-12-02,1.4078481012658228
2020-12-03,1.3941772151898737
2020-12-04,1.3748101265822783
2020-12-05,1.369113924050633
2020-12-06,1.3736708860759494
2020-12-07,1.3869620253164556
2020-12-08,1.396075949367089
2020-12-09,1.399493670886076
2020-12-10,1.4059493670886076
2020-12-11,1.418101265822785
2020-12-12,1.4260759493670887
2020-12-13,1.4245569620253165
2020-12-14,1.4177215189873418
2020-12-15,1.3835443037974684
2020-12-16,1.3546835443037974
2020-12-17,1.320886075949367
2020-12-18,1.2851898734177216
2020-12-19,1.279113924050633
2020-12-20,1.258987341772152
2020-12-21,1.2278481012658229
2020-12-22,1.2031645569620253
2020-12-23,1.1818987341772154
2020-12-24,1.1750632911392405
2020-12-25,1.1864556962025317
2020-12-26,1.2035443037974685
2020-12-27,1.230126582278481
2020-12-28,1.2358227848101266
2020-12-29,1.2358227848101266
2020-12-30,1.2422784810126584
2020-12-31,1.2586075949367088
2021-01-01,1.268860759493671
2021-01-02,1.267341772151899
2021-01-03,1.2555696202531643
2021-01-04,1.24873417721519
