date,price,total_value,position,in_position,peak,dd
2020-01-02 00:00:00+00:00,6985.47021484375,10000.0,0.0,False,10000.0,0.0
2020-01-03 00:00:00+00:00,7344.88427734375,10000.0,0.0,False,10000.0,0.0
2020-01-04 00:00:00+00:00,7410.65673828125,10000.0,0.0,False,10000.0,0.0
2020-01-05 00:00:00+00:00,7411.3173828125,10000.0,0.0,False,10000.0,0.0
2020-01-06 00:00:00+00:00,7769.21923828125,10000.0,0.0,False,10000.0,0.0
2020-01-07 00:00:00+00:00,8163.6923828125,10000.0,0.0,False,10000.0,0.0
2020-01-08 00:00:00+00:00,8079.86279296875,10000.0,0.0,False,10000.0,0.0
2020-01-09 00:00:00+00:00,7879.0712890625,10000.0,0.0,False,10000.0,0.0
2020-01-10 00:00:00+00:00,8166.55419921875,10000.0,0.0,False,10000.0,0.0
2020-01-11 00:00:00+00:00,8037.53759765625,10000.0,0.0,False,10000.0,0.0
2020-01-12 00:00:00+00:00,8192.494140625,10000.0,0.0,False,10000.0,0.0
2020-01-13 00:00:00+00:00,8144.1943359375,10000.0,0.0,False,10000.0,0.0
2020-01-14 00:00:00+00:00,8827.7646484375,10000.0,0.0,False,10000.0,0.0
2020-01-15 00:00:00+00:00,8807.0107421875,10000.0,0.0,False,10000.0,0.0
2020-01-16 00:00:00+00:00,8723.7861328125,10000.0,0.0,False,10000.0,0.0
2020-01-17 00:00:00+00:00,8929.0380859375,10000.0,0.0,False,10000.0,0.0
2020-01-18 00:00:00+00:00,8942.80859375,10000.0,0.0,False,10000.0,0.0
2020-01-19 00:00:00+00:00,8706.2451171875,10000.0,0.0,False,10000.0,0.0
2020-01-20 00:00:00+00:00,8657.642578125,10000.0,0.0,False,10000.0,0.0
2020-01-21 00:00:00+00:00,8745.89453125,10000.0,0.0,False,10000.0,0.0
2020-01-22 00:00:00+00:00,8680.8759765625,10000.0,0.0,False,10000.0,0.0
2020-01-23 00:00:00+00:00,8406.515625,10000.0,0.0,False,10000.0,0.0
2020-01-24 00:00:00+00:00,8445.4345703125,10000.0,0.0,False,10000.0,0.0
2020-01-25 00:00:00+00:00,8367.84765625,10000.0,0.0,False,10000.0,0.0
2020-01-26 00:00:00+00:00,8596.830078125,10000.0,0.0,False,10000.0,0.0
2020-01-27 00:00:00+00:00,8909.8193359375,10000.0,0.16835358198002884,True,10000.0,0.0
2020-01-28 00:00:00+00:00,9358.58984375,10075.552122477231,0.16835358198002884,True,10075.552122477231,0.0
2020-01-29 00:00:00+00:00,9316.6298828125,10068.48801275366,0.16835358198002884,True,10075.552122477231,-0.07011139079725533
2020-01-30 00:00:00+00:00,9508.9931640625,10100.87306019353,0.16835358198002884,True,10100.87306019353,0.0
2020-01-31 00:00:00+00:00,9350.529296875,10074.195100538107,0.16835358198002884,True,10100.87306019353,-0.26411538385288164
2020-02-01 00:00:00+00:00,9392.875,10081.324151340663,0.16835358198002884,True,10100.87306019353,-0.19353682336536598
2020-02-02 00:00:00+00:00,9344.365234375,10073.157358536682,0.16835358198002884,True,10100.87306019353,-0.2743891690518496
2020-02-03 00:00:00+00:00,9293.521484375,10064.597631102886,0.16835358198002884,True,10100.87306019353,-0.35913162035072843
2020-02-04 00:00:00+00:00,9180.962890625,10045.647988662438,0.16835358198002884,True,10100.87306019353,-0.5467356257423652
2020-02-05 00:00:00+00:00,9613.423828125,10118.454336557004,0.16835358198002884,True,10118.454336557004,0.0
2020-02-06 00:00:00+00:00,9729.8017578125,10138.046977883316,0.16835358198002884,True,10138.046977883316,0.0
2020-02-07 00:00:00+00:00,9795.943359375,10149.182153424259,0.16835358198002884,True,10149.182153424259,0.0
2020-02-08 00:00:00+00:00,9865.119140625,10160.828143983963,0.16835358198002884,True,10160.828143983963,0.0
2020-02-09 00:00:00+00:00,10116.673828125,10203.178276688455,1.0760491946912611,True,10203.178276688455,0.0
2020-02-10 00:00:00+00:00,9856.611328125,9923.33823299406,1.0760491946912611,True,10203.178276688455,-2.7426752341841922
2020-02-11 00:00:00+00:00,10208.236328125,10301.704031077374,1.0760491946912611,True,10301.704031077374,0.0
2020-02-12 00:00:00+00:00,10326.0546875,10428.482381802689,1.0760491946912611,True,10428.482381802689,0.0
2020-02-13 00:00:00+00:00,10214.3798828125,10308.314798151401,1.0760491946912611,True,10428.482381802689,-1.1523017372208983
2020-02-14 00:00:00+00:00,10312.1162109375,10413.483895322388,1.0760491946912611,True,10428.482381802689,-0.14382233129599684
2020-02-15 00:00:00+00:00,9889.4248046875,9958.647148024158,1.0760491946912611,True,10428.482381802689,-4.505307834612405
2020-02-16 00:00:00+00:00,9934.43359375,10007.07881924889,1.0760491946912611,True,10428.482381802689,-4.040890583361693
2020-02-17 00:00:00+00:00,9690.142578125,9744.209668615298,1.0760491946912611,True,10428.482381802689,-6.561575195077483
2020-02-18 00:00:00+00:00,10141.99609375,10230.426280221995,1.0760491946912611,True,10428.482381802689,-1.8991843139735727
2020-02-19 00:00:00+00:00,9633.38671875,9683.13757184082,1.0760491946912611,True,10428.482381802689,-7.147203041378942
2020-02-20 00:00:00+00:00,9608.4755859375,9656.331967439082,1.0760491946912611,True,10428.482381802689,-7.404245278401968
2020-02-21 00:00:00+00:00,9686.44140625,9740.227025599792,1.0760491946912611,True,10428.482381802689,-6.599765248718039
2020-02-22 00:00:00+00:00,9663.181640625,9715.198373530302,1.0760491946912611,True,10428.482381802689,-6.839768071306721
2020-02-23 00:00:00+00:00,9924.515625,9996.406596962479,1.0760491946912611,True,10428.482381802689,-4.143227835280865
