date,type,price,z_score,reason,position,pnl_pct
2014-09-18,BUY,424.44000244140625,0.9829163678802576,正常偏低买入30%,7.0681367984728265,
2014-09-19,BUY,394.7959899902344,0.5488392641436357,正常买入20%,12.134044382917825,
2014-10-04,BUY,328.8659973144531,-0.2271614613307637,低估买入30%,21.256300938774153,
2015-01-14,BUY,178.10299682617188,-1.3259495869613045,极度低估买入20%,32.48575825078107,
2016-06-12,SELL,672.7839965820312,6.284426913079172,高估卖出20%,25.988606600624856,58.5109774555024
2016-08-02,BUY,547.4650268554688,1.3991204305888352,正常买入20%,29.641807995949787,
2016-12-21,SELL,834.281005859375,6.088131021698663,高估卖出20%,23.713446396759828,96.56040925938576
2017-07-14,BUY,2233.340087890625,1.9793632588005512,正常买入20%,24.608966076384164,
2017-09-14,BUY,3154.949951171875,1.4624124376999403,正常买入20%,25.242890554094853,
2017-12-30,BUY,12952.2001953125,1.8374209696664552,正常买入20%,25.397304473725573,
2023-10-21,SELL,29918.412109375,6.025497579096819,高估卖出20%,20.317843578980458,6948.914319404949
2023-10-23,SELL,33086.234375,7.678638579144249,深度高估卖出30%,14.22249050528632,7695.26769029447
2023-10-25,SELL,34502.8203125,8.003776705186432,极度高估卖出30%,9.955743353700424,8029.021796729232
2024-09-12,SELL,58127.01171875,6.021223263872304,高估卖出20%,7.964594682960339,13594.989017151936
2024-09-19,SELL,62940.45703125,7.146162123679425,深度高估卖出30%,5.575216278072237,14729.05868184253
2024-10-14,SELL,66046.125,8.29823018886725,极度高估卖出30%,3.902651394650566,15460.768216967872
2024-10-20,SELL,69001.703125,9.012300605877831,泡沫区卖出20%,3.1221211157204527,16157.115900503666
2025-05-08,SELL,103241.4609375,6.019342935682737,高估卖出20%,2.497696892576362,24224.15897268129
2025-05-18,SELL,106446.0078125,7.053658660786961,深度高估卖出30%,1.7483878248034534,24979.164829001907
2025-05-26,SELL,109440.3671875,8.020341548681696,极度高估卖出30%,1.2238714773624175,25684.649551878225
