date,price,z_score,rsi,total_value,position,cash,peak,dd
2016-11-08,709.8480224609375,3.9133734748953617,63.04452483040539,23320.23921583466,22.071305779126476,7652.96645539107,24004.029391801356,-2.8486474699962123
2016-11-09,723.2730102539062,4.030448688965799,61.64861337023255,23616.546226494313,22.071305779126476,7652.96645539107,24004.029391801356,-1.614242171522208
2016-11-10,715.5339965820312,3.9373826026104983,57.135145875735965,23445.73608931352,22.071305779126476,7652.96645539107,24004.029391801356,-2.325831606749004
2016-11-11,716.4110107421875,3.9692646460269128,57.03130212102083,23465.092937014953,22.071305779126476,7652.96645539107,24004.029391801356,-2.2451916134150283
2016-11-12,705.0540161132812,3.83546145436033,47.3348785913874,23214.429235828466,22.071305779126476,7652.96645539107,24004.029391801356,-3.2894483800398127
2016-11-13,702.031005859375,3.853961586274691,50.049929193979295,23147.70745214107,22.071305779126476,7652.96645539107,24004.029391801356,-3.567409144869512
2016-11-14,705.02099609375,3.8960328666919857,51.195619145045534,23213.70044088056,22.071305779126476,7652.96645539107,24004.029391801356,-3.292484515915216
2016-11-15,711.6190185546875,3.9906963701614058,43.82273143881856,23359.327412153456,22.071305779126476,7652.96645539107,24004.029391801356,-2.6858073247823118
2016-11-16,744.197998046875,4.35388729502888,50.998837542596895,24078.388030497415,22.071305779126476,7652.96645539107,24078.388030497415,0.0
2016-11-17,740.9769897460938,4.275071178892248,71.82955076042255,24007.296171373768,22.071305779126476,7652.96645539107,24078.388030497415,-0.2952517379220054
2016-11-18,751.5850219726562,4.4580146371567055,70.87435077853874,24241.429294361056,22.071305779126476,7652.96645539107,24241.429294361056,0.0
2016-11-19,751.6160278320312,4.485483356737037,70.83606424151466,24242.113634164267,22.071305779126476,7652.96645539107,24242.113634164267,0.0
2016-11-20,731.0260009765625,4.246487485237695,57.61007379690657,23787.664855436793,22.071305779126476,7652.96645539107,24242.113634164267,-1.8746252310566762
2016-11-21,739.2479858398438,4.341174915127743,64.11072803641017,23969.13479746562,22.071305779126476,7652.96645539107,24242.113634164267,-1.1260521290269812
2016-11-22,751.3469848632812,4.490425406944092,65.55910762464215,24236.17550453326,22.071305779126476,7652.96645539107,24242.113634164267,-0.02449509857357137
2016-11-23,744.593994140625,4.40611907730777,58.41482221636594,24087.128181369913,22.071305779126476,7652.96645539107,24242.113634164267,-0.6393231841630072
2016-11-24,740.2890014648438,4.363387909473526,60.04234967400853,23992.111371645842,18.760609912257504,10103.838192829286,24242.113634164267,-1.0312725461615606
2016-11-25,741.6489868164062,4.409600866624512,60.1983139075742,24017.62552631289,18.760609912257504,10103.838192829286,24242.113634164267,-0.9260253096702163
