date,market_cap,realized_cap,mvrv,mvrv_z_score
2020-02-19 00:00:00+00:00,175632690004.13687,105934241985.64336,1.6579406876573426,3.1224747208367654
2020-02-20 00:00:00+00:00,175247351456.81827,105931105362.3126,1.6543521457406267,3.1225043862506894
2020-02-21 00:00:00+00:00,176865876880.39227,105983033401.2143,1.6688131222932692,3.231117068918644
2020-02-22 00:00:00+00:00,176399792167.0473,106022352820.75168,1.663798128167183,3.2369068549087836
2020-02-23 00:00:00+00:00,181843236236.80328,106102726637.69727,1.7138413120874139,3.529962658604765
2020-02-24 00:00:00+00:00,175937259068.28143,106136289747.86015,1.6576541302342684,3.3011649359335844
2020-02-25 00:00:00+00:00,170415547339.4431,106264619977.5256,1.603690366327806,3.080469642890486
2020-02-26 00:00:00+00:00,160483857843.0548,106173882835.3136,1.5115191566647463,2.6365457441842826
2020-02-27 00:00:00+00:00,160137770415.14587,106120968660.75977,1.5090115783532216,2.6580205322453443
2020-02-28 00:00:00+00:00,159636352746.77155,106116218816.56747,1.504353948218971,2.6668190543451247
2020-02-29 00:00:00+00:00,156577275161.4932,106095412906.83357,1.47581569147565,2.536105861893334
2020-03-01 00:00:00+00:00,155860614930.0949,106079481488.29704,1.4692814552198754,2.508003749307966
2020-03-02 00:00:00+00:00,162527106819.9153,106151088253.88078,1.531092233658504,2.852629381092081
2020-03-03 00:00:00+00:00,160036426101.82803,106192303893.52116,1.507043544909773,2.738000696553624
2020-03-04 00:00:00+00:00,159827648015.21225,105944562243.79436,1.5085969929011063,2.7509952783598246
2020-03-05 00:00:00+00:00,165435942800.14697,105987423258.70609,1.5609016401534004,3.0487313364641078
2020-03-06 00:00:00+00:00,166995631895.5666,106043503006.90285,1.574784189133172,3.152987775884291
2020-03-07 00:00:00+00:00,162471226444.75668,106044790401.99895,1.5321000289486555,2.9432579622446866
2020-03-08 00:00:00+00:00,148086770498.23337,105979150874.5877,1.3973198433480039,2.2034934029460014
2020-03-09 00:00:00+00:00,144207873678.32483,105804387818.65492,1.3629668546969163,2.01548705498502
2020-03-10 00:00:00+00:00,144468246215.19913,105700666427.75186,1.366767600410027,2.044894796138799
2020-03-11 00:00:00+00:00,145017268327.98505,105442350680.15796,1.375322793854161,2.0947319145648446
2020-03-12 00:00:00+00:00,90594467680.79959,103245195959.28967,0.877469085501292,-0.6528049787759944
2020-03-13 00:00:00+00:00,102812902144.09328,102576116567.2704,1.0023083889773463,0.012064232939737568
2020-03-14 00:00:00+00:00,94005928118.49551,102243645666.05302,0.9194305182107507,-0.41159192396187877
2020-03-15 00:00:00+00:00,97913564614.60316,102137534076.13464,0.9586442976155771,-0.20732656299077556
2020-03-16 00:00:00+00:00,91604630050.69981,101719675053.62672,0.9005596016936326,-0.48562764249810425
2020-03-17 00:00:00+00:00,98992369512.90936,101566444210.5615,0.9746562487477093,-0.12166186374303664
2020-03-18 00:00:00+00:00,98555627712.75357,101500406350.86436,0.9709875187304045,-0.13710237696832434
2020-03-19 00:00:00+00:00,113387305928.47572,101590169028.80936,1.1161247885739898,0.5458358569975471
2020-03-20 00:00:00+00:00,112858311337.38544,101422487393.06236,1.1127543234076245,0.5275527358633231
2020-03-21 00:00:00+00:00,112898621139.26904,101420075735.85924,1.1131782373472565,0.5289925433653677
2020-03-22 00:00:00+00:00,106596093106.52202,101403595696.04803,1.0512062454475306,0.23838675700483927
2020-03-23 00:00:00+00:00,118595581239.08948,101442673397.18384,1.1690896667790482,0.7887296645004621
2020-03-24 00:00:00+00:00,123884332494.96886,101625867332.15132,1.219023618170643,1.0253947095292368
2020-03-25 00:00:00+00:00,122336150605.96745,101603154509.7976,1.2040585865291276,0.9577183473302523
2020-03-26 00:00:00+00:00,123528980419.07896,101637240488.37367,1.2153909317639287,1.0139967769670308
2020-03-27 00:00:00+00:00,118719519155.59431,101579675948.68211,1.1687329974902776,0.7946192719574111
2020-03-28 00:00:00+00:00,113993258453.11453,101531421028.64212,1.1227387275605738,0.5765132599224164
2020-03-29 00:00:00+00:00,108023566970.573,101441674688.9866,1.064883513622641,0.3032738458270053
2020-03-30 00:00:00+00:00,117768692186.59364,101426870761.1688,1.1611192507743353,0.7543708247844478
2020-03-31 00:00:00+00:00,117698734312.41174,101389239458.45872,1.1608602149603395,0.75414079962435
2020-04-01 00:00:00+00:00,121567284407.78577,101109962013.59636,1.202327465927032,0.9490467909985332
2020-04-02 00:00:00+00:00,124318508345.339,101127899290.52628,1.2293195964467665,1.0800455738800563
2020-04-03 00:00:00+00:00,123582214925.00829,101124829510.37892,1.2220758791224904,1.0496619618223557
2020-04-04 00:00:00+00:00,125574021300.844,101143749184.16164,1.2415401081504298,1.1463413107304592
2020-04-05 00:00:00+00:00,124322577425.2926,101160404858.8298,1.2289648069201167,1.0907250704129998
2020-04-06 00:00:00+00:00,133622754419.986,101328941230.7355,1.3187027595177814,1.5306518077814595
2020-04-07 00:00:00+00:00,131613224221.5547,101303452701.98717,1.2991978132150375,1.4447837417923552
2020-04-08 00:00:00+00:00,135006761796.008,101371646164.12674,1.3318000338815057,1.6115439839640702
2020-04-09 00:00:00+00:00,133691006813.91692,101401426188.0556,1.3184332000023171,1.5556688846898485
2020-04-10 00:00:00+00:00,125650890516.87971,101010698982.76643,1.24393645210115,1.1893313338401874
2020-04-11 00:00:00+00:00,126092446156.63509,101012544673.87302,1.2482850181008163,1.2081374472399922
2020-04-12 00:00:00+00:00,127854957413.5737,101027876525.3178,1.2655413714603116,1.2899537507516599
2020-04-13 00:00:00+00:00,125761070198.93243,101012742499.2182,1.2450020372420418,1.187145960428416
2020-04-14 00:00:00+00:00,125994705942.76488,101016104682.62376,1.2472734554417817,1.1954287274599524
2020-04-15 00:00:00+00:00,121426285928.7838,100976131482.59128,1.2025246377132026,0.9753582614762929
2020-04-16 00:00:00+00:00,130646051882.06584,101018301879.69498,1.293290913142207,1.411232012605564
2020-04-17 00:00:00+00:00,129806876584.3978,101030364561.13264,1.2848303294585532,1.3687835075432757
2020-04-18 00:00:00+00:00,133146355855.414,101068074275.8424,1.3173928246819189,1.5246059524156674
2020-04-19 00:00:00+00:00,131096633928.62564,101077162196.68819,1.2969955930650479,1.4252471638955884
2020-04-20 00:00:00+00:00,125665595004.13223,101019623820.93587,1.2439721140407631,1.1675984743667438
2020-04-21 00:00:00+00:00,125992868717.38625,101005663653.5044,1.247384197678255,1.1812880736989029
2020-04-22 00:00:00+00:00,130648436527.64308,101041684367.23595,1.2930152277826388,1.398018360456677
2020-04-23 00:00:00+00:00,137354908752.06412,101146320357.42503,1.3579822604192349,1.7093179865868935
2020-04-24 00:00:00+00:00,137695605129.5817,101218694912.23367,1.3603772035292196,1.721519873429327
2020-04-25 00:00:00+00:00,138282481992.70456,101251503293.39973,1.3657326310701676,1.7472583163509527
2020-04-26 00:00:00+00:00,140980122465.1078,101291627832.09653,1.3918240380024287,1.8734352717616634
2020-04-27 00:00:00+00:00,142707868307.3903,101504524323.42168,1.40592618170086,1.945823915489216
2020-04-28 00:00:00+00:00,142583524348.09668,101543202446.31476,1.4041661176037823,1.9382526726723766
2020-04-29 00:00:00+00:00,160802206508.21957,102340367913.64032,1.5712490563245984,2.7575121371709668
2020-04-30 00:00:00+00:00,158808556147.54883,102600329260.32452,1.5478367105880233,2.6486525884913483
2020-05-01 00:00:00+00:00,162552358585.9274,102783875443.96182,1.5814966879172754,2.8120347217538133
2020-05-02 00:00:00+00:00,164803746448.9257,102884541121.9142,1.6018319628178117,2.9070269634648387
2020-05-03 00:00:00+00:00,163344877181.00287,102965892747.8753,1.5863979112090345,2.829603513400137
2020-05-04 00:00:00+00:00,163089932635.14145,103064226958.00471,1.582410671955025,2.808163135728155
2020-05-05 00:00:00+00:00,165015950017.1822,103161176582.3718,1.5995935242694794,2.8877188602206036
2020-05-06 00:00:00+00:00,170192827716.01007,103413654118.13272,1.6457481284008528,3.1074025384177144
2020-05-07 00:00:00+00:00,183562058560.50375,104150690295.01501,1.7624660771863325,3.6668260046163734
2020-05-08 00:00:00+00:00,181109783310.85468,104383077965.31593,1.7350492708313625,3.519608534053929
