strategy,return,final_value,trades,win_rate,avg_win,avg_loss,profit_factor,expected_return,avg_holding,vs_hold
百分比移动20%,98.09413500903494,19809.413500903494,20,35.0,105.26424229251829,-14.693332783529828,7.164082093785554,27.29181849308701,77.7,-1088.5859766988724
趋势强度止盈,76.88143078826994,17688.143078826994,51,49.01960784313725,24.635030805177003,-7.674660056281815,3.20991817546536,8.163423699335251,26.58823529411765,-1109.7986809196375
ATR追踪(1.8-2.2),70.20153081656902,17020.153081656903,54,46.2962962962963,23.22588155290994,-7.070818856204513,3.2847513173852074,6.955431333200327,23.90740740740741,-1116.4785808913384
百分比移动15%,69.38542989739271,16938.54298973927,31,41.935483870967744,43.78999297243057,-12.764478712165207,3.430613498590933,10.951912639439474,48.193548387096776,-1117.2946818105147
波动率自适应,65.98738414306365,16598.738414306365,60,45.0,19.917728741866956,-5.563168661724068,3.5802848975091655,5.903235169891893,19.55,-1120.6927275648436
混合策略,63.661137919801206,16366.11379198012,52,50.0,20.97807628705244,-7.674660056281815,2.7334209115727015,6.651708115385311,25.75,-1123.0189737881062
