total_value,date,peak,dd
10000.0,2020-01-02 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-03 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-04 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-05 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-06 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-07 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-08 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-09 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-10 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-11 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-12 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-13 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-14 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-15 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-16 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-17 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-18 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-19 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-20 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-21 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-22 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-23 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-24 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-25 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-26 00:00:00+00:00,10000.0,0.0
10000.0,2020-01-27 00:00:00+00:00,10000.0,0.0
10075.552122477231,2020-01-28 00:00:00+00:00,10075.552122477231,0.0
10068.48801275366,2020-01-29 00:00:00+00:00,10075.552122477231,-0.07011139079725533
10100.87306019353,2020-01-30 00:00:00+00:00,10100.87306019353,0.0
10074.195100538107,2020-01-31 00:00:00+00:00,10100.87306019353,-0.26411538385288164
10081.324151340663,2020-02-01 00:00:00+00:00,10100.87306019353,-0.19353682336536598
10073.157358536682,2020-02-02 00:00:00+00:00,10100.87306019353,-0.2743891690518496
10064.597631102886,2020-02-03 00:00:00+00:00,10100.87306019353,-0.35913162035072843
10045.647988662438,2020-02-04 00:00:00+00:00,10100.87306019353,-0.5467356257423652
10118.454336557004,2020-02-05 00:00:00+00:00,10118.454336557004,0.0
10138.046977883316,2020-02-06 00:00:00+00:00,10138.046977883316,0.0
10149.182153424259,2020-02-07 00:00:00+00:00,10149.182153424259,0.0
10160.828143983963,2020-02-08 00:00:00+00:00,10160.828143983963,0.0
10203.178276688455,2020-02-09 00:00:00+00:00,10203.178276688455,0.0
9923.33823299406,2020-02-10 00:00:00+00:00,10203.178276688455,-2.7426752341841922
10301.704031077374,2020-02-11 00:00:00+00:00,10301.704031077374,0.0
10428.482381802689,2020-02-12 00:00:00+00:00,10428.482381802689,0.0
10308.314798151401,2020-02-13 00:00:00+00:00,10428.482381802689,-1.1523017372208983
10413.483895322388,2020-02-14 00:00:00+00:00,10428.482381802689,-0.14382233129599684
9958.647148024158,2020-02-15 00:00:00+00:00,10428.482381802689,-4.505307834612405
10007.07881924889,2020-02-16 00:00:00+00:00,10428.482381802689,-4.040890583361693
9744.209668615298,2020-02-17 00:00:00+00:00,10428.482381802689,-6.561575195077483
10230.426280221995,2020-02-18 00:00:00+00:00,10428.482381802689,-1.8991843139735727
9683.13757184082,2020-02-19 00:00:00+00:00,10428.482381802689,-7.147203041378942
9656.331967439082,2020-02-20 00:00:00+00:00,10428.482381802689,-7.404245278401968
9740.227025599792,2020-02-21 00:00:00+00:00,10428.482381802689,-6.599765248718039
9715.198373530302,2020-02-22 00:00:00+00:00,10428.482381802689,-6.839768071306721
9996.406596962479,2020-02-23 00:00:00+00:00,10428.482381802689,-4.143227835280865
9701.202378194273,2020-02-24 00:00:00+00:00,10428.482381802689,-6.9739773917391075
9369.273777340062,2020-02-25 00:00:00+00:00,10428.482381802689,-10.156881564194862
8862.310059706382,2020-02-26 00:00:00+00:00,10428.482381802689,-15.018218996363448
8800.433963499278,2020-02-27 00:00:00+00:00,10428.482381802689,-15.61155649209606
8781.57178600572,2020-02-28 00:00:00+00:00,10428.482381802689,-15.792428231654942
8769.291016949895,2020-02-29 00:00:00+00:00,10428.482381802689,-15.910190036356777
