date,price,z_score,total_value,position,cash,borrowed,peak,dd
2020-02-28,8672.455078125,2.6668190543451247,11085.992702196603,0.7017612253244909,5000.0,0.0,12246.424790267703,-9.475680518556743
2020-02-29,8599.5087890625,2.536105861893334,11034.801825001228,0.7017612253244909,5000.0,0.0,12246.424790267703,-9.893687227225355
2020-03-01,8562.4541015625,2.508003749307966,11008.798282097214,0.7017612253244909,5000.0,0.0,12246.424790267703,-10.106023017869164
2020-03-02,8869.669921875,2.852629381092081,11224.390432598782,0.7017612253244909,5000.0,0.0,12246.424790267703,-8.345573301369857
2020-03-03,8787.7861328125,2.738000696553624,11166.92756445207,0.7017612253244909,5000.0,0.0,12246.424790267703,-8.814794883430109
2020-03-04,8755.24609375,2.7509952783598246,11144.092226767461,0.7017612253244909,5000.0,0.0,12246.424790267703,-9.00126022393304
2020-03-05,9078.7626953125,3.048731336464108,11371.123633492778,0.7017612253244909,5000.0,0.0,12246.424790267703,-7.147401562213747
2020-03-06,9122.5458984375,3.152987775884291,11401.848987766409,0.7017612253244909,5000.0,0.0,12246.424790267703,-6.89650911972679
2020-03-07,8909.9541015625,2.9432579622446866,11252.660307897473,0.7017612253244909,5000.0,0.0,12246.424790267703,-8.114731437047489
2020-03-08,8108.1162109375,2.2034934029460014,10689.961567260869,0.7017612253244909,5000.0,0.0,12246.424790267703,-12.709531554415488
2020-03-09,7923.64453125,2.01548705498502,10560.506495285703,0.7017612253244909,5000.0,0.0,12246.424790267703,-13.76661616639175
2020-03-10,7909.7294921875,2.044894796138799,10550.741460422763,0.7017612253244909,5000.0,0.0,12246.424790267703,-13.846354008498125
2020-03-11,7911.43017578125,2.0947319145648446,10551.934934225403,0.7017612253244909,5000.0,0.0,12246.424790267703,-13.836608520953156
2020-03-12,4970.7880859375,-0.6528049787759944,8488.30633801588,2.5123393156400393,2000.0,6000.0,12246.424790267703,-30.687474235243084
2020-03-13,5563.70703125,0.0120642329397375,9976.604846819147,2.5123393156400393,1998.6849315068494,6000.0,12246.424790267703,-18.53455177589784
2020-03-14,5200.3662109375,-0.4115919239618787,9062.454350478001,2.5123393156400393,1997.3698630136987,6000.0,12246.424790267703,-25.999183388771712
2020-03-15,5392.31494140625,-0.2073265629907755,9543.379624128684,2.5123393156400393,1996.054794520548,6000.0,12246.424790267703,-22.072116657974693
2020-03-16,5014.47998046875,-0.4856276424981042,8592.814928448934,2.5123393156400393,1994.7397260273974,6000.0,12246.424790267703,-29.83409382240531
2020-03-17,5225.62939453125,-0.1216618637430366,9121.978834379359,2.5123393156400393,1993.4246575342468,6000.0,12246.424790267703,-25.513127377153843
2020-03-18,5238.4384765625,-0.1371023769683243,9152.844526270577,2.5123393156400393,1992.1095890410961,6000.0,12246.424790267703,-25.261088987012847
2020-03-19,6191.19287109375,0.5458358569975471,11545.171781307108,2.5123393156400393,1990.7945205479455,6000.0,12246.424790267703,-5.726185568198521
2020-03-20,6198.7783203125,0.5275527358633231,11562.913935113014,2.5123393156400393,1989.4794520547948,6000.0,12246.424790267703,-5.581309376903851
2020-03-21,6185.06640625,0.5289925433653677,11527.149885827967,2.5123393156400393,1988.1643835616442,6000.0,12246.424790267703,-5.873346031662631
2020-03-22,5830.2548828125,0.2383867570048392,10634.42787736065,2.5123393156400393,1986.8493150684935,6000.0,12246.424790267703,-13.163000145055529
2020-03-23,6416.31494140625,0.7887296645004621,12105.49453539888,2.5123393156400393,1985.5342465753429,6000.0,12246.424790267703,-1.1507869217538567
2020-03-24,6734.8037109375,1.0253947095292368,12904.331324188908,2.5123393156400393,1984.2191780821922,6000.0,12904.331324188908,0.0
2020-03-25,6681.06298828125,0.9577183473302524,12768.001325315556,2.5123393156400393,1982.9041095890416,6000.0,12904.331324188908,-1.0564669756874936
2020-03-26,6716.4404296875,1.0139967769670308,12855.566393754074,2.5123393156400393,1981.589041095891,6000.0,12904.331324188908,-0.37789583365257656
2020-03-27,6469.79833984375,0.7946192719574111,12234.602706054851,2.5123393156400393,1980.2739726027403,6000.0,12904.331324188908,-5.1899521277686365
2020-03-28,6242.19384765625,0.5765132599224164,11661.467923422759,2.5123393156400393,1978.9589041095896,6000.0,12904.331324188908,-9.63136616336274
2020-03-29,5922.04296875,0.3032738458270053,10855.82521491672,2.5123393156400393,1977.643835616439,6000.0,12904.331324188908,-15.874562252073494
