策略,总收益率,最大回撤,夏普比率,卡尔玛比率,胜率,综合得分
技术指标分批,840.9787759540013,-77.2933775139996,0.6990763671560247,0.47270088865289867,38.46153846153847,66.23782774487451
动态回撤分批,583.2961566532643,-53.855238030973794,0.9153397837410476,0.5674786189701397,63.1578947368421,65.5535167269203
ATR分批(1.5/2.0/2.5),699.7495427968774,-50.83363023450724,0.9787851212296387,0.6655085401542958,48.05194805194805,65.45676506826435
ATR分批(1.0/1.5/2.0),401.16013843259617,-50.89915196658927,0.7670766803249924,0.5007382505377189,46.666666666666664,38.46357193913535
固定比例分批,169.42062779913155,-59.71510542299202,0.39243262511313076,0.247340410832412,63.63636363636363,21.713197291471012
