风控方案,配置,总收益率,实际最大回撤,单笔最大亏损,胜率,夏普比率,交易次数,固定止损次数,回撤止损次数,最终价值
当前版本,固定止损-20% + 账户回撤30%,801.53032246383,-52.43964994403032,-25.923653331100247,64.70588235294117,0.9040538649210227,17,3,3,90153.03224638301
中等风控,固定止损-15% + 账户回撤20%,318.9760300535767,-73.51054150283234,-25.069491528020272,50.0,0.4745531965976488,22,1,13,41897.60300535767
严格风控,固定止损-10% + 账户回撤15%,470.6169513920516,-67.88100791727693,-43.435263321017835,34.21052631578947,0.6356491656579315,38,8,24,57061.695139205156
极严风控,固定止损-10% + 账户回撤10%,822.8573902975878,-65.10852338831702,-43.435263321017835,39.53488372093023,0.9379080748120944,43,9,33,92285.73902975878
