date,price,z_score,rsi,total_value,position,cash,peak,dd
2021-08-07,44555.80078125,2.4475279323961163,77.84643892682291,35773.28424448152,0.37519433986519113,19056.19998319546,39949.61201922362,-10.453988320919029
2021-08-08,43798.1171875,2.400481630851904,73.30022465576556,35489.0056486978,0.37519433986519113,19056.19998319546,39949.61201922362,-11.16558120359064
2021-08-09,46365.40234375,2.6376473934845155,74.12788646122996,36452.23650814273,0.37519433986519113,19056.19998319546,39949.61201922362,-8.754466775291753
2021-08-10,45585.03125,2.566000941913986,67.7334292516688,36159.44569077332,0.37519433986519113,19056.19998319546,39949.61201922362,-9.48736705284268
2021-08-11,45593.63671875,2.5942133803814467,66.62135387657491,36162.6744139402,0.37519433986519113,19056.19998319546,39949.61201922362,-9.479285064048076
2021-08-12,44428.2890625,2.4746339164054523,62.28300124492445,35725.44256934004,0.37519433986519113,19056.19998319546,39949.61201922362,-10.573743364143118
2021-08-13,47793.3203125,2.8199125181406703,64.52654840331405,36987.98324780953,0.37519433986519113,19056.19998319546,39949.61201922362,-7.413410598303099
2021-08-14,47096.9453125,2.7660369812589267,64.23433839809216,36726.7072893859,0.37519433986519113,19056.19998319546,39949.61201922362,-8.067424355177387
2021-08-15,47047.00390625,2.7764369148709585,70.07368385572263,36707.969556436,0.37519433986519113,19056.19998319546,39949.61201922362,-8.114327771763469
2021-08-16,46004.484375,2.6723200455780405,69.01750031560238,36316.822129112086,0.37519433986519113,19056.19998319546,39949.61201922362,-9.093429714319745
2021-08-17,44695.359375,2.5486720786413737,68.02794400263329,35825.64583893606,0.37519433986519113,19056.19998319546,39949.61201922362,-10.322919227108182
2021-08-18,44801.1875,2.5801309827867165,65.17038649487657,35865.35195243461,0.37519433986519113,19056.19998319546,39949.61201922362,-10.223528741214496
2021-08-19,46717.578125,2.7657410888218785,66.75579398449923,36584.37086790532,0.37519433986519113,19056.19998319546,39949.61201922362,-8.42371422705921
2021-08-20,49339.17578125,3.044626857430401,67.99318894429715,37567.97946993418,0.37519433986519113,19056.19998319546,39949.61201922362,-5.961591186776497
2021-08-21,48905.4921875,3.032140751107046,62.93028230100108,37405.26384026678,0.37519433986519113,19056.19998319546,39949.61201922362,-6.368893339270748
2021-08-22,49321.65234375,3.0658201248674324,66.76006623309355,37561.4047753692,0.37519433986519113,19056.19998319546,39949.61201922362,-5.978048654653324
2021-08-23,49546.1484375,3.0902349127827846,61.25093645999744,37645.63443906604,0.37519433986519113,19056.19998319546,39949.61201922362,-5.767208900674468
2021-08-24,47706.1171875,2.9177150180618665,56.979491274189876,36955.26512889097,0.37519433986519113,19056.19998319546,39949.61201922362,-7.495309063056184
2021-08-25,48960.7890625,3.024977622261416,60.23998401500423,37426.01091477902,0.37519433986519113,19056.19998319546,39949.61201922362,-6.3169602328809855
2021-08-26,46942.21875,2.8330225334845984,57.26803620748381,36668.654758909106,0.37519433986519113,19056.19998319546,39949.61201922362,-8.212738733822315
2021-08-27,49058.66796875,3.027932713163284,53.942915012774684,37462.73452639621,0.37519433986519113,19056.19998319546,39949.61201922362,-6.225035406177987
2021-08-28,48902.40234375,3.004829407962905,55.821902537544716,37404.10454838072,0.37519433986519113,19056.19998319546,39949.61201922362,-6.37179522448932
2021-08-29,48829.83203125,3.013284667363269,55.74055533474541,37376.87657788847,0.37519433986519113,19056.19998319546,39949.61201922362,-6.439951006525815
2021-08-30,47054.984375,2.818090910858698,53.23018322564775,36710.96378314047,0.37519433986519113,19056.19998319546,39949.61201922362,-8.106832763544046
2021-08-31,47166.6875,2.825870647204211,58.20316187247744,36752.87416338572,0.37519433986519113,19056.19998319546,39949.61201922362,-8.001924660243606
2021-09-01,48847.02734375,2.977623896360101,62.15859474543883,37383.328161810685,0.37519433986519113,19056.19998319546,39949.61201922362,-6.423801703450955
2021-09-02,49327.72265625,3.045959117583803,58.584825834660286,37563.682322260414,0.37519433986519113,19056.19998319546,39949.61201922362,-5.972347605816807
