date,type,price,z_score,amount,position,borrowed
2020-03-12,DCA,4970.7880859375,-0.6528049787759944,1000.0,0.2011753433683943,800.0
2020-07-27,SELL,10990.873046875,4.078312060760687,110.55463295617541,0.19111657619997457,744.7226835219122
2020-08-05,SELL,11747.0224609375,4.142023717044314,112.25253566392874,0.18156074738997585,688.5964156899479
2020-10-21,SELL,12823.689453125,4.582906332230507,116.41393207031629,0.17248271002047705,630.3894496547897
2020-10-28,SELL,13271.28515625,4.724105088129211,114.4533614602265,0.16385857451945318,573.1627689246765
2020-11-04,SELL,14133.70703125,5.077609279513895,115.79645434080987,0.15566564579348052,515.2645417542715
2020-11-11,SELL,15701.33984375,5.446145615063368,122.20796033001253,0.14788236350380649,454.1605615892652
2020-11-18,SELL,17804.005859375,5.569360181586804,131.64492331599973,0.14048824532861617,388.33809993126533
2020-11-25,SELL,18732.12109375,4.82687637991024,131.5821411872048,0.13346383306218537,322.54702933766293
2020-12-02,SELL,19201.091796875,4.380858758173948,128.13256550949112,0.12679064140907612,258.4807465829174
2020-12-16,SELL,21310.59765625,4.184927884769687,135.0992172823346,0.12045110933862231,190.93113794175008
2020-12-25,SELL,24664.791015625,4.090963704850251,148.5450719718658,0.1144285538716912,116.65860195581718
2021-01-01,SELL,29374.15234375,4.216286038231359,168.06208869510306,0.10870712617810663,32.62755760826565
2021-01-08,SELL,40797.609375,4.837628437812902,221.74954350466155,0.1032717698692013,0.0
2021-10-11,SELL,57484.7890625,4.006387251375244,296.827795352104,0.09810818137574123,0.0
2021-10-18,SELL,62026.078125,4.399173123732254,304.26328613566983,0.09320277230695417,0.0
2021-10-25,SELL,63039.82421875,4.313138167184251,293.77431914652857,0.08854263369160646,0.0
2021-11-01,SELL,61004.40625,4.062999040228145,270.0745398083849,0.08411550200702614,0.0
2021-11-08,SELL,67566.828125,4.529751570613496,284.1708833378414,0.07990972690667483,0.0
2022-06-13,DCA,22487.388671875,-0.1287658291421737,1000.0,0.12437909658723276,800.0
2022-06-20,DCA,20599.537109375,-0.2909019336432854,1000.0,0.17292387672915607,1600.0
2022-06-27,DCA,20735.478515625,-0.2300769451576653,1000.0,0.22115039820761923,2400.0
2022-07-04,DCA,20231.26171875,-0.2578381371302999,1000.0,0.2705788527401023,3200.0
2022-07-11,DCA,19970.556640625,-0.2582502943537861,1000.0,0.3206525696622313,4000.0
2022-07-25,DCA,21361.701171875,-0.0393543307560748,1000.0,0.3674653207607538,4800.0
2022-08-19,DCA,20877.552734375,-0.0925934697397444,1000.0,0.4153636550494032,5600.0
2022-08-26,DCA,20260.01953125,-0.1583230368814004,1000.0,0.4647219490262453,6400.0
2022-09-02,DCA,19969.771484375,-0.1823393856973213,1000.0,0.5147976347085994,7200.0
2022-09-09,DCA,21381.15234375,-0.0192073250475375,1000.0,0.5615677986325431,8000.0
2022-09-16,DCA,19772.583984375,-0.1854578605844777,1000.0,0.6121428777820481,8800.0
2022-09-23,DCA,19297.638671875,-0.2259951994592271,1000.0,0.6639626893664278,9600.0
2022-09-30,DCA,19431.7890625,-0.2076643727234864,1000.0,0.7154247547883825,10400.0
2022-10-07,DCA,19546.849609375,-0.1966785406979225,1000.0,0.766583893983907,11200.0
2022-10-14,DCA,19185.65625,-0.2455313555660958,1000.0,0.8187061663195223,12000.0
2022-10-21,DCA,19172.46875,-0.2681837185628392,1000.0,0.8708642901918067,12800.0
2022-10-28,DCA,20595.3515625,-0.0796781461151102,1000.0,0.9194189359799756,13600.0
2022-11-06,DCA,20926.486328125,-0.0315909479088364,1000.0,0.9672052668680239,14400.0
2022-11-13,DCA,16353.365234375,-0.8821427747911365,1000.0,1.028354760300604,15200.0
2022-11-20,DCA,16291.83203125,-0.953699480845503,1000.0,1.0897352114421246,16000.0
2022-11-27,DCA,16444.626953125,-0.9798376746835812,1000.0,1.1505453473515908,16800.0
2022-12-04,DCA,17130.486328125,-0.8246174771363399,1000.0,1.2089208062174719,17600.0
2022-12-11,DCA,17104.193359375,-0.8631471758118012,1000.0,1.267386001213171,18400.0
2022-12-18,DCA,16757.9765625,-1.0613914784670564,1000.0,1.327059076674903,19200.0
2022-12-25,DCA,16841.986328125,-1.2529187817167629,1000.0,1.386434495970314,20000.0
2023-01-01,DCA,16625.080078125,-1.4541369888222713,1000.0,1.4465845821834797,20800.0
2023-01-08,DCA,17091.14453125,-1.196676040865232,1000.0,1.5050944144636742,21600.0
2023-09-28,SELL,27021.546875,4.096225143601481,2033.4989635865427,1.4298396937404905,20583.25051820673
2023-10-05,SELL,27415.912109375,4.537617486035888,1960.0179687042478,1.358347709053466,19603.241533854605
2023-10-12,SELL,26756.798828125,4.087798308835372,1817.2518194894028,1.2904303236007926,18694.615624109905
2023-10-19,SELL,28719.806640625,5.300383100884701,1853.0454688506957,1.225908807420753,17768.092889684558
2023-10-26,SELL,34156.6484375,7.573904551902304,2093.6468075752778,1.1646133670497152,16721.26948589692
2023-11-02,SELL,34938.2421875,6.625586144681084,2034.4771936391392,1.1063826986972294,15704.030889077349
2023-11-09,SELL,36693.125,6.297305897480734,2029.8319330567388,1.051063563762368,14689.114922548979
2023-11-16,SELL,36154.76953125,5.163724821091387,1900.0480455261352,0.9985103855742495,13739.090899785911
2023-11-23,SELL,37289.62109375,4.904556564184709,1861.7036968118991,0.9485848662955371,12808.239051379962
2023-11-30,SELL,37712.74609375,4.5409416409891845,1788.687010548869,0.9011556229807602,11913.895546105527
2023-12-07,SELL,43292.6640625,5.119430466365934,1950.6713826869482,0.8560978418317222,10938.559854762052
2023-12-14,SELL,43023.97265625,4.420329467642369,1841.6365069021326,0.8132929497401361,10017.741601310985
2023-12-21,SELL,43869.15234375,4.178320816873995,1783.9236156123923,0.7726283022531293,9125.77979350479
2024-02-28,SELL,62504.7890625,4.4488018883045175,2414.648452802467,0.7339968871404728,7918.455567103556
2024-03-06,SELL,66106.8046875,4.172266742466111,2426.1094429714108,0.6972970427834492,6705.400845617851
2024-03-13,SELL,73083.5,4.166910291305366,2548.0454213132107,0.6624321906442767,5431.378134961245
2024-08-17,SELL,59478.97265625,4.022008843657049,1970.0393076975363,0.6293105811120628,4446.358481112477
2024-08-24,SELL,64178.9921875,5.541651557204727,2019.4259434351086,0.5978450520564597,3436.645509394923
2024-08-31,SELL,58969.8984375,5.426618424488628,1762.7431000565664,0.5679527994536366,2555.2739593666397
2024-09-07,SELL,54139.6875,4.775271089125433,1537.439353858503,0.5395551594809548,1786.5542824373883
2024-09-14,SELL,60005.12109375,6.5334825640101,1618.8036340706144,0.512577401506907,977.1524654020811
2024-09-21,SELL,63394.83984375,7.230910876833658,1624.7381138027956,0.48694853143156164,164.78340850068332
2024-09-28,SELL,65887.6484375,7.924335957101804,1604.1946823059825,0.46260110485998357,0.0
2024-10-05,SELL,62089.94921875,7.225839388031902,1436.1439554647013,0.4394710496169844,0.0
2024-10-12,SELL,63193.0234375,7.51476129192474,1388.5752169274413,0.4174974971361352,0.0
2024-10-19,SELL,68362.734375,8.906366822874563,1427.0635249472468,0.39662262227932843,0.0
2024-10-26,SELL,67014.6953125,8.624862941881146,1328.9772093046984,0.37679149116536204,0.0
2024-11-02,SELL,69289.2734375,8.760428968238639,1305.380433014007,0.3579519166070939,0.0
2024-11-09,SELL,76778.8671875,9.524796448142544,1374.1571332343572,0.3400543207767392,0.0
2024-11-16,SELL,90558.4765625,8.666128126024848,1539.7400619018597,0.32305160473790223,0.0
2024-11-23,SELL,97777.28125,7.227306969745208,1579.355380736085,0.30689902450100714,0.0
2024-11-30,SELL,96449.0546875,5.895972820967623,1480.006039881902,0.2915540732759568,0.0
2024-12-07,SELL,99923.3359375,5.33037855656831,1456.6527803949962,0.27697636961215893,0.0
2024-12-14,SELL,101372.96875,4.789218500448804,1403.895843059092,0.263127551131551,0.0
2025-04-22,SELL,93441.890625,4.1683545684572865,1229.3567926629244,0.24997117357497345,0.0
2025-04-29,SELL,94284.7890625,4.6020112547952,1178.4239686110973,0.2374726148962248,0.0
2025-05-06,SELL,96802.4765625,5.26428873289087,1149.3968618863694,0.22559898415141355,0.0
2025-05-13,SELL,104169.8125,6.481829144368578,1175.030193962161,0.21431903494384288,0.0
2025-05-20,SELL,106791.0859375,7.305537066005723,1144.3681239364996,0.20360308319665074,0.0
2025-05-27,SELL,108994.640625,7.994548863686766,1109.5822441580463,0.1934229290368182,0.0
2025-06-03,SELL,105432.46875,7.422848427385593,1019.6528460603902,0.1837517825849773,0.0
2025-06-10,SELL,110257.234375,7.719617078406736,1012.9981679647942,0.17456419345572843,0.0
2025-06-17,SELL,104601.1171875,6.812946882066391,912.9804828202036,0.165835983782942,0.0
2025-06-24,SELL,106045.6328125,6.833278720665293,879.3090921672788,0.1575441845937949,0.0
2025-07-01,SELL,105698.28125,6.5563034630133155,832.6074766248427,0.14966697536410517,0.0
2025-07-08,SELL,108950.2734375,6.673948758804601,815.3128945241417,0.14218362659589992,0.0
2025-07-15,SELL,117777.1875,6.956405004032652,837.2993824507646,0.13507444526610493,0.0
2025-07-22,SELL,119995.4140625,6.599563060985007,810.4156994484377,0.12832072300279967,0.0
2025-07-29,SELL,117922.1484375,5.982785529662779,756.5927672771732,0.12190468685265969,0.0
2025-08-05,SELL,114141.4453125,5.444289627390119,695.7188573865147,0.11580945251002671,0.0
2025-08-12,SELL,120172.90625,5.705109501320964,695.8579239675635,0.11001897988452537,0.0
2025-08-19,SELL,112831.1796875,4.879983143511344,620.6785644193166,0.1045180308902991,0.0
2025-08-26,SELL,111802.65625,4.698201507787607,584.2696739777497,0.09929212934578414,0.0
2025-09-02,SELL,111200.5859375,4.580088323426767,552.0671481116618,0.09432752287849494,0.0
2025-09-09,SELL,111530.546875,4.553409468491252,526.0200106001308,0.0896111467345702,0.0
2025-09-16,SELL,116843.1875,4.951137343770581,523.52260099987,0.08513058939784168,0.0
2025-09-23,SELL,112014.5,4.597167474528612,476.7930203052269,0.0808740599279496,0.0
2025-09-30,SELL,114056.0859375,4.958924718865172,461.2089364628373,0.07683035693155213,0.0
2025-10-07,SELL,121451.3828125,5.641857560123501,466.55765456574755,0.07298883908497453,0.0
2025-10-14,SELL,113118.6640625,5.1247874480637,412.8199984382552,0.0693393971307258,0.0
