风控方案,固定止损设置,总收益率,实际最大回撤,单笔最大亏损,平均止损亏损,胜率,交易次数,固定止损次数,最终价值
当前版本,-20%,601.3496434901522,-47.07851675973654,-20.000000000000007,-20.0,63.1578947368421,19,5,70134.96434901522
中等风控,-15%,263.6104209378929,-67.41808023421191,-15.000000000000002,-15.0,38.70967741935484,31,10,36361.04209378929
严格风控,-10%,282.5549931520888,-64.90802341923721,-10.000000000000009,-9.999999999999996,32.5,40,17,38255.49931520888
极严风控,-10%,765.2686247552707,-64.80601570145208,-10.000000000000009,-10.0,41.17647058823529,51,14,86526.86247552707
