方案,入场条件,总收益率,最大回撤,胜率,夏普比率,交易次数,最终价值
方案D（最严格）,sqzOff + isLime + wt1>wt2 + priceStruct,801.53032246383,-52.43964994403032,64.70588235294117,0.9040538649210227,17,90153.03224638301
方案A（当前）,sqzOff + isLime + wt1>wt2,759.7714287747349,-54.9392664759618,64.70588235294117,0.8759164866986465,17,85977.1428774735
方案B（用户建议）,sqzOff + wt1>wt2,-51.4178248101712,-56.067378913083985,44.34782608695652,-0.7604583802515847,115,4858.21751898288
方案C（最宽松）,只要 sqzOff,-51.4178248101712,-56.067378913083985,44.34782608695652,-0.7604583802515847,115,4858.21751898288
