策略,总收益率,最大回撤,波动率,夏普比率,卡尔玛比率,胜率,交易次数
ATR分批(1.0/1.5/2.0),401.16013843259617,-50.89915196658927,29.31539034673317,0.7670766803249924,0.5007382505377189,46.666666666666664,105
ATR分批(1.5/2.0/2.5),699.7495427968774,-50.83363023450724,31.498450864658096,0.9787851212296387,0.6655085401542958,48.05194805194805,77
技术指标分批,840.9787759540013,-77.2933775139996,47.972796411764044,0.6990763671560247,0.47270088865289867,38.46153846153847,13
动态回撤分批,583.2961566532643,-53.855238030973794,30.110890613187248,0.9153397837410476,0.5674786189701397,63.1578947368421,19
固定比例分批,169.42062779913155,-59.71510542299202,29.99230429638868,0.39243262511313076,0.247340410832412,63.63636363636363,22
