date,price,account_value,positions
2020-03-31 00:00:00+00:00,6438.64453125,108130.7531715578,4
2020-04-01 00:00:00+00:00,6606.7763671875,109931.53268479537,4
2020-04-02 00:00:00+00:00,6793.62451171875,111932.77360911029,4
2020-04-03 00:00:00+00:00,6733.38720703125,111287.60070887371,4
2020-04-04 00:00:00+00:00,6867.52734375,112724.31142317176,4
2020-04-05 00:00:00+00:00,6791.12939453125,111906.0496047638,4
2020-04-06 00:00:00+00:00,7271.78125,117054.08126397617,4
2020-04-07 00:00:00+00:00,7176.41455078125,116032.65425557751,4
2020-04-08 00:00:00+00:00,7334.0986328125,117721.5328840789,4
2020-04-09 00:00:00+00:00,7302.08935546875,117378.69685571607,4
2020-04-10 00:00:00+00:00,6865.4931640625,112702.52429947168,4
2020-04-11 00:00:00+00:00,6859.0830078125,112633.86818810951,4
2020-04-12 00:00:00+00:00,6971.091796875,113833.54064467673,4
2020-04-13 00:00:00+00:00,6845.03759765625,112483.43453154848,4
2020-04-14 00:00:00+00:00,6842.427734375,112455.48153678684,4
2020-04-15 00:00:00+00:00,6642.10986328125,110309.97282697247,4
2020-04-16 00:00:00+00:00,7116.80419921875,115394.19634977945,4
2020-04-17 00:00:00+00:00,7096.1845703125,115173.34938704992,4
2020-04-18 00:00:00+00:00,7257.6650390625,116902.88929418026,4
2020-04-19 00:00:00+00:00,7189.4248046875,116172.00084966992,4
2020-04-20 00:00:00+00:00,6881.95849609375,112878.87657942627,4
2020-04-21 00:00:00+00:00,6880.3232421875,112861.36215857374,4
2020-04-22 00:00:00+00:00,7117.20751953125,115398.51612034506,4
2020-04-23 00:00:00+00:00,7429.724609375,118745.73688784115,4
2020-04-24 00:00:00+00:00,7550.90087890625,120043.59783395933,4
2020-04-25 00:00:00+00:00,7569.93603515625,120247.47426946687,4
2020-04-26 00:00:00+00:00,7679.8671875,121424.89415490018,4
2020-04-27 00:00:00+00:00,7795.60107421875,122664.46434711503,4
2020-04-28 00:00:00+00:00,7807.05859375,122787.18034750453,4
2020-04-29 00:00:00+00:00,8801.0380859375,112968.80207649249,2
2020-04-30 00:00:00+00:00,8658.5537109375,112259.71371329454,2
