策略,2020-2021牛市,2022熊市,2023-2024牛市
ATR分批(1.0/1.5/2.0),140.10566944433748,-30.194463552837806,149.29630888934577
ATR分批(1.5/2.0/2.5),198.1184823355282,-30.238410603570877,132.1705603064975
动态回撤分批,277.6077018783243,-30.38198305984806,131.22380917862515
固定比例分批,69.40889716169775,-30.38198305984806,77.93523682802149
技术指标分批,412.84296402580895,-30.38198305984806,288.76997668159714
