date,price,z_score,total_value,position,cash,peak,dd
2017-10-01 00:00:00+00:00,4403.740234375,1.6262199990750115,129996.62441729968,27.624167131342517,8346.968179907211,143484.66355369196,-9.400335061834019
2017-10-02 00:00:00+00:00,4409.31982421875,1.6124407374932406,130150.75593966777,27.624167131342517,8346.968179907211,143484.66355369196,-9.29291485499748
2017-10-03 00:00:00+00:00,4317.47998046875,1.5145332459100516,127613.75674660139,27.624167131342517,8346.968179907211,143484.66355369196,-11.061047511291466
2017-10-04 00:00:00+00:00,4229.35986328125,1.4222511557072504,125179.5119017804,27.624167131342517,8346.968179907211,143484.66355369196,-12.757566696361092
2017-10-05 00:00:00+00:00,4328.41015625,1.4945632616857263,127915.6937491576,27.624167131342517,8346.968179907211,143484.66355369196,-10.85061596057509
2017-10-06 00:00:00+00:00,4370.81005859375,1.5162181564423904,129086.95573785395,27.624167131342517,8346.968179907211,143484.66355369196,-10.034318274336265
2017-10-07 00:00:00+00:00,4426.89013671875,1.549095049628138,130636.12118871769,27.624167131342517,8346.968179907211,143484.66355369196,-8.954645079657833
2017-10-08 00:00:00+00:00,4610.47998046875,1.6922783247170106,135707.63771608475,27.624167131342517,8346.968179907211,143484.66355369196,-5.420109470234115
2017-10-09 00:00:00+00:00,4772.02001953125,1.8130205027071278,140170.04675355085,27.624167131342517,8346.968179907211,143484.66355369196,-2.3100843797851494
2017-10-10 00:00:00+00:00,4781.990234375,1.8011559843708582,140445.46563472998,27.624167131342517,8346.968179907211,143484.66355369196,-2.1181343313564107
2017-10-11 00:00:00+00:00,4826.47998046875,1.8189943369711508,141674.45781645473,27.624167131342517,8346.968179907211,143484.66355369196,-1.2616022454273361
2017-10-12 00:00:00+00:00,5446.91015625,2.325138315778887,158813.3246855642,27.624167131342517,8346.968179907211,158813.3246855642,0.0
2017-10-13 00:00:00+00:00,5647.2099609375,2.455279371056649,164346.43996662696,27.624167131342517,8346.968179907211,164346.43996662696,0.0
2017-10-14 00:00:00+00:00,5831.7900390625,2.564892127159886,169445.3108938682,27.624167131342517,8346.968179907211,169445.3108938682,0.0
2017-10-15 00:00:00+00:00,5678.18994140625,2.3930968902680503,165202.23612482144,27.624167131342517,8346.968179907211,169445.3108938682,-2.504096895135925
2017-10-16 00:00:00+00:00,5725.58984375,2.3923812470696757,166511.6189491745,27.624167131342517,8346.968179907211,169445.3108938682,-1.7313503272635398
2017-10-17 00:00:00+00:00,5605.509765625,2.2564104164771006,163194.50680190485,27.624167131342517,8346.968179907211,169445.3108938682,-3.688980272743307
2017-10-18 00:00:00+00:00,5590.68994140625,2.2103744884439265,162785.12150082897,27.624167131342517,8346.968179907211,169445.3108938682,-3.9305834772912887
2017-10-19 00:00:00+00:00,5708.52001953125,2.271394573559667,166040.07927205312,27.624167131342517,8346.968179907211,169445.3108938682,-2.009634615352653
2017-10-20 00:00:00+00:00,6011.4501953125,2.4740542543698263,174408.27307696134,27.624167131342517,8346.968179907211,174408.27307696134,0.0
2017-10-21 00:00:00+00:00,6031.60009765625,2.446474644362654,174964.89734698532,27.624167131342517,8346.968179907211,174964.89734698532,0.0
2017-10-22 00:00:00+00:00,6008.419921875,2.3868251005607215,174324.56429707017,27.624167131342517,8346.968179907211,174964.89734698532,-0.36597801023210896
2017-10-23 00:00:00+00:00,5930.31982421875,2.287356516749841,172167.11414643974,27.624167131342517,8346.968179907211,174964.89734698532,-1.599054006242808
2017-10-24 00:00:00+00:00,5526.64013671875,1.9434874173271937,161015.79899141163,27.624167131342517,8346.968179907211,174964.89734698532,-7.972512525132536
2017-10-25 00:00:00+00:00,5750.7998046875,2.0898668013467074,167208.0231234866,27.624167131342517,8346.968179907211,174964.89734698532,-4.4333888346275
2017-10-26 00:00:00+00:00,5904.830078125,2.1774009217930304,171462.9811402105,27.624167131342517,8346.968179907211,174964.89734698532,-2.0014964486447395
2017-10-27 00:00:00+00:00,5780.89990234375,2.0527547920069384,168039.5132518126,27.624167131342517,8346.968179907211,174964.89734698532,-3.958156293166907
2017-10-28 00:00:00+00:00,5753.08984375,2.0043166276265376,167271.28354528642,27.624167131342517,8346.968179907211,174964.89734698532,-4.39723276974875
2017-10-29 00:00:00+00:00,6153.85009765625,2.2760147384883553,178341.95177879193,27.624167131342517,8346.968179907211,178341.95177879193,0.0
2017-10-30 00:00:00+00:00,6130.52978515625,2.2242750833395104,177697.74756873678,27.624167131342517,8346.968179907211,178341.95177879193,-0.3612185487653475
2017-10-31 00:00:00+00:00,6468.39990234375,2.4375875007056043,187031.12815461057,27.624167131342517,8346.968179907211,187031.12815461057,0.0
2017-11-01 00:00:00+00:00,6767.31005859375,2.6107930511458717,195288.2722681163,27.624167131342517,8346.968179907211,195288.2722681163,0.0
2017-11-02 00:00:00+00:00,7078.5,2.780832654407167,203884.6352191152,27.624167131342517,8346.968179907211,203884.6352191152,0.0
2017-11-03 00:00:00+00:00,7207.759765625,2.812446554222845,207455.32858809837,27.624167131342517,8346.968179907211,207455.32858809837,0.0
2017-11-04 00:00:00+00:00,7379.9501953125,2.869800733097919,212211.94579620357,27.624167131342517,8346.968179907211,212211.94579620357,0.0
2017-11-05 00:00:00+00:00,7407.41015625,2.8252825035696416,212970.5043465612,27.624167131342517,8346.968179907211,212970.5043465612,0.0
2017-11-06 00:00:00+00:00,7022.759765625,2.5094072683407367,202344.85766880002,27.624167131342517,8346.968179907211,212970.5043465612,-4.989257414008074
2017-11-07 00:00:00+00:00,7144.3798828125,2.545360549080622,205704.51211252098,27.624167131342517,8346.968179907211,212970.5043465612,-3.4117364075057415
2017-11-08 00:00:00+00:00,7459.68994140625,2.7045175794924634,214414.68986930815,27.624167131342517,8346.968179907211,214414.68986930815,0.0
2017-11-09 00:00:00+00:00,7143.580078125,2.447399347354268,205682.41817416105,27.624167131342517,8346.968179907211,214414.68986930815,-4.072608877903684
2017-11-10 00:00:00+00:00,6618.14013671875,2.066669790881464,191167.57741527198,27.624167131342517,8346.968179907211,214414.68986930815,-10.842126753631451
2017-11-11 00:00:00+00:00,6357.60009765625,1.8700834298724542,183970.37583180296,27.624167131342517,8346.968179907211,214414.68986930815,-14.198800490797463
2017-11-12 00:00:00+00:00,5950.06982421875,1.5828300741970964,172712.69144728375,27.624167131342517,8346.968179907211,214414.68986930815,-19.449226378772345
2017-11-13 00:00:00+00:00,6559.490234375,1.9618671679309185,189547.42271069132,27.624167131342517,8346.968179907211,214414.68986930815,-11.597744153525179
2017-11-14 00:00:00+00:00,6635.75,1.9861212234646966,191654.03522171333,27.624167131342517,8346.968179907211,214414.68986930815,-10.615249664781867
2017-11-15 00:00:00+00:00,7315.5400390625,2.3926209937846066,210432.66887499767,27.624167131342517,8346.968179907211,214414.68986930815,-1.8571586661052124
2017-11-16 00:00:00+00:00,7871.68994140625,2.6988782937997353,225795.84672742125,27.624167131342517,8346.968179907211,225795.84672742125,0.0
2017-11-17 00:00:00+00:00,7708.990234375,2.5450416909029365,221301.40282816955,27.624167131342517,8346.968179907211,225795.84672742125,-1.9904900663108072
2017-11-18 00:00:00+00:00,7790.14990234375,2.5473408663925787,223543.37106046255,27.624167131342517,8346.968179907211,225795.84672742125,-0.9975717886776996
2017-11-19 00:00:00+00:00,8036.490234375,2.6474524080693573,230348.31756368422,27.624167131342517,8346.968179907211,230348.31756368422,0.0
2017-11-20 00:00:00+00:00,8200.6396484375,2.6915948069537183,234882.80841225866,27.624167131342517,8346.968179907211,234882.80841225866,0.0
2017-11-21 00:00:00+00:00,8071.259765625,2.561382601307886,231308.79690601263,27.624167131342517,8346.968179907211,234882.80841225866,-1.5216147705340086
2017-11-22 00:00:00+00:00,8253.5498046875,2.617776045869491,236344.4074114541,27.624167131342517,8346.968179907211,236344.4074114541,0.0
2017-11-23 00:00:00+00:00,8038.77001953125,2.4440163424867816,230411.29472986402,27.624167131342517,8346.968179907211,236344.4074114541,-2.5103672841562394
