entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason
2021-04-27,2021-05-04,55073.48,53244.07,-1829.4100000000035,-3.3217621257999372,回撤止损-36.0%
2021-05-24,2021-05-25,38837.76,38387.36,-450.40000000000146,-1.159696130775826,回撤止损-39.5%
2021-05-31,2021-06-01,37290.83,36683.51,-607.3199999999997,-1.6286041367274466,回撤止损-44.3%
2021-06-09,2021-06-10,37391.58,36680.78,-710.8000000000029,-1.9009627301119743,回撤止损-49.9%
2021-06-27,2021-06-28,34713.81,34487.11,-226.6999999999971,-0.6530542167511924,回撤止损-51.6%
2021-07-21,2021-07-22,32139.48,32299.47,159.9900000000016,0.4977989687449878,回撤止损-50.4%
2021-09-30,2021-10-02,47080.5975,47669.02,2353.689999999973,1.2498195249114952,回撤止损-32.0%
2021-11-25,2021-11-26,58966.99,53788.22,-5178.769999999997,-8.782489999913507,回撤止损-72.5%
2021-11-29,2021-11-30,57839.55,56975.35,-864.2000000000044,-1.4941333395574556,回撤止损-79.3%
2021-12-08,2021-12-09,50513.04,47593.85,-2919.1900000000023,-5.779081995460979,回撤止损-102.1%
2021-12-11,2021-12-12,49398.4,50109.99,1423.179999999993,1.4405122433115172,回撤止损-91.0%
2021-12-20,2021-12-21,46913.54,48917.48,4007.8800000000047,4.271559980338304,回撤止损-59.6%
2022-01-11,2022-01-12,42743.03,43919.67,1176.6399999999994,2.752823091858484,回撤止损-50.4%
2022-01-25,2022-01-26,36975.99,36829.37,-293.2399999999907,-0.3965275845217271,回撤止损-52.7%
2022-02-04,2022-02-05,41590.34,41418.21,-688.5199999999895,-0.4138701438843669,回撤止损-58.1%
2022-02-25,2022-02-26,39239.77,39134.83,-104.93999999999505,-0.26743276018181317,回撤止损-58.9%
2022-04-19,2022-04-20,41504.44,41375.35,-129.09000000000378,-0.311026964825941,回撤止损-59.9%
2022-04-25,2022-04-26,40437.52,38117.39,-9280.51999999999,-5.737567486829058,回撤止损-132.6%
2022-04-28,2022-04-29,39749.75,38594.22,-1155.5299999999988,-2.9070119937861216,回撤止损-141.6%
2022-05-04,2022-05-05,39680.21,36546.86,-3133.3499999999985,-7.89650558805006,回撤止损-166.2%
2022-05-13,2022-05-14,29244.83,30050.31,805.4799999999996,2.7542645999309947,回撤止损-159.9%
2022-05-29,2022-05-30,29452.23,31716.41,2264.1800000000003,7.687635197742243,回撤止损-142.1%
2022-06-19,2022-06-20,20553.48,20550.91,-2.569999999999709,-0.012503965265248069,回撤止损-142.2%
2022-07-04,2022-07-05,20212.81,20158.69,-54.12000000000262,-0.2677509955320542,回撤止损-142.6%
2022-09-01,2022-09-02,20129.93,19957.44,-172.4900000000016,-0.8568832579149634,回撤止损-143.9%
2022-09-09,2022-09-10,21369.73,21655.13,1141.6000000000058,1.3355339538683992,回撤止损-135.0%
2022-09-23,2022-09-24,19291.13,18924.39,-366.7400000000016,-1.9010809631162175,回撤止损-137.9%
2022-09-26,2022-09-27,19230.96,19081.4,-149.55999999999767,-0.777704285173479,回撤止损-139.0%
2022-11-23,2022-11-24,16590.98,16588.46,-2.5200000000004366,-0.015188976178624991,回撤止损-139.1%
2022-11-29,2022-11-30,16431.79,17162.35,730.5599999999977,4.446015924010699,回撤止损-133.3%
2023-01-02,2023-01-03,16670.08,16670.16,0.07999999999810825,0.0004799017161171887,回撤止损-133.3%
2023-03-12,2023-03-13,22183.71,24207.1,2023.3899999999994,9.121062256944395,回撤止损-117.5%
2023-05-16,2023-05-17,27036.57,27406.21,369.6399999999994,1.367185260556348,回撤止损-114.6%
2023-05-20,2023-05-21,27118.54,26755.17,-363.3700000000026,-1.339932016989125,回撤止损-117.4%
2023-05-23,2023-05-24,27224.7,26326.17,-898.5300000000025,-3.300422043218116,回撤止损-124.5%
2023-05-27,2023-05-28,26872.59,28077.57,1204.9799999999996,4.484048616080547,回撤止损-115.0%
