strategy,return,max_dd,trades,win_rate
双向: WT±50,2.547126066806086,-37.42611294211968,9,55.55555555555556
双向: WT±40,-30.24165732504137,-54.69214845402601,19,52.63157894736842
双向: 做多保守做空激进,38.19944463397742,-38.37502694896007,14,71.42857142857143
双向: WT±60（严格）,-10.176303904037304,-19.635516809016316,3,33.33333333333333
双向: 动量主导,-24.92996768412311,-35.16055472822965,3,33.33333333333333
