strategy,final_value,return,max_drawdown,hold_days,trades,win_rate
策略A: 多因子加权,9055.41685100532,-9.445831489946794,-71.83916067037084,827,6,50.0
策略B: 动量+价值,17545.129592287394,75.45129592287394,-64.56109438222065,631,30,40.0
策略C: 保守型,8000.738772945349,-19.992612270546505,-48.02006802116938,265,1,0.0
