date,price,cash,btc_holdings,position_value,total_value,return,unrealized_profit,unrealized_profit_pct,peak,drawdown
2023-08-04,29078.51,269.9790988999084,0.31217553772889395,9077.59949560502,9347.578594504928,-6.524214054950717,3947.996616506757,76.9649563437702,17600.33806687587,-46.88977814524355
2023-08-05,29050.34,269.9790988999084,0.31217553772889395,9068.805510707198,9338.784609607106,-6.612153903928938,3939.202631608935,76.79352036509717,17600.33806687587,-46.939743008784276
2023-08-06,29046.16,269.9790988999084,0.31217553772889395,9067.50061695949,9337.4797158594,-6.625202841406008,3937.897737861228,76.76808187056918,17600.33806687587,-46.947157035394156
2023-08-07,29182.16,269.9790988999084,0.31217553772889395,9109.956490090619,9379.935588990527,-6.200644110094727,3980.353610992356,77.59574580736484,17600.33806687587,-46.70593511698662
2023-08-08,29770.51,269.9790988999084,0.31217553772889395,9293.624967713415,9563.604066613323,-4.363959333866769,4164.022088615152,81.17630519864237,17600.33806687587,-45.66238426628755
2023-08-09,29566.47,269.9790988999084,0.31217553772889395,9229.928670995212,9499.90776989512,-5.000922301048795,4100.325791896949,79.93456586287921,17600.33806687587,-46.02428809152192
2023-08-10,29428.1,269.9790988999084,0.31217553772889395,9186.732941839664,9456.712040739572,-5.4328795926042766,4057.130062741401,79.09247866483199,17600.33806687587,-46.26971365659582
2023-08-11,29403.56,269.9790988999084,0.31217553772889395,9179.072154143798,9449.051253043706,-5.509487469562937,4049.469275045535,78.94313401035433,17600.33806687587,-46.31324002334376
2023-08-12,29417.08,269.9790988999084,0.31217553772889395,9183.292767413892,9453.2718663138,-5.467281336861998,4053.689888315629,79.02541354289458,17600.33806687587,-46.28925972674913
2023-08-13,29281.55,269.9790988999084,0.31217553772889395,9140.983616785494,9410.962715685402,-5.890372843145979,4011.380737687231,78.20060991529222,17600.33806687587,-46.5296480105857
2023-08-14,29409.22,269.9790988999084,0.31217553772889395,9180.839067687342,9450.81816658725,-5.491818334127493,4051.2361885890796,78.97757943595917,17600.33806687587,-46.30320093468063
2023-08-15,29171.23,269.9790988999084,0.31217553772889395,9106.544411463243,9376.523510363151,-6.234764896368488,3976.94153236498,77.52922840420914,17600.33806687587,-46.72532155498806
2023-08-16,28702.8,269.9790988999084,0.31217553772889395,8960.312024324898,9230.291123224806,-7.697088767751939,3830.709145226635,74.67847386072971,17600.33806687587,-47.556171431750116
2023-08-17,26629.67,269.9790988999084,0.31217553772889395,8313.131551792994,8583.110650692903,-14.168893493070971,3183.5286726947315,62.06189343948526,17600.33806687587,-51.23326257666345
2023-08-18,26049.69,269.9790988999084,0.31217553772889395,8132.075983420991,8402.0550823209,-15.979449176791006,3002.4731043227284,58.53227189490614,17600.33806687587,-52.26196763723699
2023-08-19,26095.8,269.9790988999084,0.31217553772889395,8146.47039746567,8416.449496365578,-15.835505036344221,3016.8675183674077,58.81288648406532,17600.33806687587,-52.18018276475338
2023-08-20,26191.01,269.9790988999084,0.31217553772889395,8176.192630412838,8446.171729312748,-15.538282706872526,3046.5897513145756,59.3923120974647,17600.33806687587,-52.011309684962335
2023-08-21,26126.18,269.9790988999084,0.31217553772889395,8155.954290301875,8425.933389201782,-15.740666107982179,3026.351411203612,58.997772001711304,17600.33806687587,-52.126298045038524
2023-08-22,26043.01,269.9790988999084,0.31217553772889395,8129.990650828962,8399.96974972887,-16.000302502711293,3000.3877717306996,58.4916189897753,17600.33806687587,-52.27381589028819
2023-08-23,26429.4,269.9790988999084,0.31217553772889395,8250.61215685203,8520.591255751939,-14.794087442480613,3121.0092777537675,60.84309743491123,17600.33806687587,-51.588479588424306
2023-08-24,26166.22,269.9790988999084,0.31217553772889395,8168.45379883254,8438.432897732448,-15.615671022675523,3038.8509197342773,59.241446001926754,17600.33806687587,-52.05527947435442
2023-08-25,26051.29,269.9790988999084,0.31217553772889395,8132.575464281358,8402.554563181267,-15.974454368187327,3002.9725851830954,58.54200911769198,17600.33806687587,-52.25912973231455
2023-08-26,26010.35,269.9790988999084,0.31217553772889395,8119.794997766736,8389.774096666644,-16.102259033333556,2990.192118668473,58.29285792965949,17600.33806687587,-52.331744624517526
2023-08-27,26091.32,269.9790988999084,0.31217553772889395,8145.071851056645,8415.050949956552,-15.849490500434477,3015.468971958382,58.785622260264994,17600.33806687587,-52.18812889853622
2023-08-28,26106.0,269.9790988999084,0.31217553772889395,8149.654587950506,8419.633686850415,-15.803663131495851,3020.051708852243,58.874961279325014,17600.33806687587,-52.16209112087281
2023-08-29,27724.41,269.9790988999084,0.31217553772889395,8654.882599966324,8924.861698866232,-10.751383011337676,3525.2797208680613,68.72422298483608,17600.33806687587,-49.29153255491739
2023-08-30,27305.41,269.9790988999084,0.31217553772889395,8524.081049657918,8794.060148557826,-12.059398514421735,3394.478170559655,66.17428776779643,17600.33806687587,-50.034708906481775
2023-08-31,25937.29,269.9790988999084,0.31217553772889395,8096.987452980264,8366.966551880172,-16.33033448119828,2967.384573882001,57.84823199420147,17600.33806687587,-52.46133045803851
2023-09-01,25798.79,269.9790988999084,0.31217553772889395,8053.751141004812,8323.73023990472,-16.762697600952798,2924.148261906549,57.005353646802924,17600.33806687587,-52.70698660288736
2023-09-02,25868.56,269.9790988999084,0.31217553772889395,8075.531628272157,8345.510727172066,-16.544892728279336,2945.928749173894,57.429957417907595,17600.33806687587,-52.583236211363136
2023-09-03,25971.37,269.9790988999084,0.31217553772889395,8107.626395306064,8377.605494205973,-16.223945057940274,2978.0235162078015,58.055634839539685,17600.33806687587,-52.40088308319051
2023-09-04,25816.24,269.9790988999084,0.31217553772889395,8059.1986041381815,8329.17770303809,-16.70822296961909,2929.5957250399188,57.111550232810906,17600.33806687587,-52.67603570232697
2023-09-05,25785.01,269.9790988999084,0.31217553772889395,8049.449362094907,8319.428460994815,-16.805715390051844,2919.846482996644,56.92149181555993,17600.33806687587,-52.73142805903189
2023-09-06,25751.71,269.9790988999084,0.31217553772889395,8039.0539166885355,8309.033015588444,-16.90966984411556,2909.451037590273,56.71883586632982,17600.33806687587,-52.7904919552302
2023-09-07,26264.75,269.9790988999084,0.31217553772889395,8199.212454564968,8469.191553464876,-15.308084465351241,3069.609575466705,59.841076352606734,17600.33806687587,-51.88051774184931
2023-09-08,25907.13,269.9790988999084,0.31217553772889395,8087.572238762361,8357.55133766227,-16.42448662337731,2957.969359664098,57.66468534468856,17600.33806687587,-52.514824965826534
2023-09-09,25898.41,269.9790988999084,0.31217553772889395,8084.850068073364,8354.829166973272,-16.451708330267284,2955.2471889751014,57.611617480505764,17600.33806687587,-52.53029154765385
2023-09-10,25833.67,269.9790988999084,0.31217553772889395,8064.6398237607955,8334.618922660704,-16.65381077339296,2935.0369446625327,57.21762510353404,17600.33806687587,-52.64512027557814
2023-09-11,25157.07,269.9790988999084,0.31217553772889395,7853.421854933426,8123.400953833335,-18.76599046166665,2723.8189758351637,53.09999701797552,17600.33806687587,-53.84519931965562
2023-09-12,25840.34,269.9790988999084,0.31217553772889395,8066.722034597447,8336.701133497356,-16.632988665026442,2937.1191554991847,57.258217151022485,17600.33806687587,-52.633289759432714
2023-09-13,26227.49,269.9790988999084,0.31217553772889395,8187.580794029189,8457.559892929097,-15.424401070709026,3057.977914930926,59.61432077698168,17600.33806687587,-51.946605452730665
2023-09-14,26533.66,269.9790988999084,0.31217553772889395,8283.159578415643,8553.138677315552,-14.468613226844482,3153.5566993173807,61.47759921469296,17600.33806687587,-51.40355460891571
2023-09-15,26605.49,269.9790988999084,0.31217553772889395,8305.58314729071,8575.562246190619,-14.244377538093813,3175.9802681924475,61.91473966013439,17600.33806687587,-51.276150414803844
2023-09-16,26569.13,269.9790988999084,0.31217553772889395,8294.23244473889,8564.211543638798,-14.357884563612025,3164.6295656406264,61.69346127232639,17600.33806687587,-51.34064180416632
2023-09-17,26533.12,269.9790988999084,0.31217553772889395,8282.99100362527,8552.970102525178,-14.470298974748221,3153.3881245270068,61.47431290200272,17600.33806687587,-51.40451240182704
2023-09-18,26767.82,269.9790988999084,0.31217553772889395,8356.258602330241,8626.23770123015,-13.737622987698506,3226.6557232319783,62.9026417693994,17600.33806687587,-50.98822722351639
2023-09-19,27219.02,269.9790988999084,0.31217553772889395,8497.112204953519,8767.091303853427,-12.329086961465729,3367.509325855256,65.64853859500394,17600.33806687587,-50.18793803538786
2023-09-20,27126.4,269.9790988999084,0.31217553772889395,8468.198506649069,8738.177605548977,-12.618223944510229,3338.595627550806,65.08487511098912,17600.33806687587,-50.352217256585696
2023-09-21,26567.47,269.9790988999084,0.31217553772889395,8293.714233346258,8563.693332246166,-14.363066677538336,3164.111354247995,61.68335890368607,17600.33806687587,-51.34358613052336
2023-09-22,26583.16,269.9790988999084,0.31217553772889395,8298.612267533224,8568.591366433133,-14.314086335668671,3169.0093884349617,61.77884454462963,17600.33806687587,-51.31575692537768
2023-09-23,26585.41,269.9790988999084,0.31217553772889395,8299.314662493114,8569.293761393023,-14.307062386069774,3169.7117833948514,61.79253751417221,17600.33806687587,-51.31176612158049
2023-09-24,26261.44,269.9790988999084,0.31217553772889395,8198.179153535084,8468.158252434992,-15.318417475650076,3068.576274436821,59.82093247296852,17600.33806687587,-51.88638865765761
2023-09-25,26297.93,269.9790988999084,0.31217553772889395,8209.570438906812,8479.54953780672,-15.204504621932793,3079.9675598085496,60.04300201012792,17600.33806687587,-51.821666688520175
2023-09-26,26212.59,269.9790988999084,0.31217553772889395,8182.929378517028,8452.908477416937,-15.47091522583063,3053.3264994187657,59.52364288978863,17600.33806687587,-51.973033442320904
2023-09-27,26360.2,269.9790988999084,0.31217553772889395,8229.00960964119,8498.9887085411,-15.010112914589008,3099.406730542928,60.421962549424016,17600.33806687587,-51.711218976319905
2023-09-28,27027.2,269.9790988999084,0.31217553772889395,8437.230693306363,8707.209792206271,-12.927902077937286,3307.6278142081,64.48116729826756,17600.33806687587,-50.528167361777065
