date,open,high,low,close,price,volume,wt1,wt2,return_5d,return_20d,return_60d,year
2020-10-14,11427.29,11550.25,11298.88,11429.3,11429.3,259711904.03,-366.66666666666663,,2.8661422834294292,22.700252858880265,67.71849544591532,2020
2020-10-15,11429.3,11607.59,11269.05,11508.31,11508.31,377801262.9,-306.42901034376837,,3.5927951193528873,23.021799030439748,67.48497390146773,2020
2020-10-16,11508.31,11545.35,11224.89,11326.25,11326.25,332320579.31,-302.38867133899674,,13.127557664716916,37.7324357134974,71.6539896258691,2020
2020-10-17,11326.25,11410.01,11270.69,11367.65,11367.65,112306061.3,-290.75491798197237,-316.559816582851,14.273838480248791,37.14901496791334,87.83240159575641,2020
2020-10-18,11367.65,11513.68,11357.25,11513.33,11513.33,131886570.58,-255.03639250148552,-288.65224804155577,12.367143128877567,28.878091742354293,98.22388483609868,2020
2020-10-19,11513.33,11821.95,11417.11,11756.88,11756.88,456404609.75,-211.03809230449156,-264.80451853173656,11.646372166765339,31.73775695592709,96.78324521471684,2020
2020-10-20,11756.88,12047.73,11688.39,11921.78,11921.78,576128149.71,-172.93781416407933,-232.4418042380072,9.389789108673362,28.630372310175154,100.00973009064084,2020
2020-10-21,11921.78,13236.39,11900.51,12813.11,12813.11,1296152945.69,-135.6783720501908,-193.6726677550618,2.000451100474443,19.51610498934293,83.14882179267953,2020
2020-10-22,12813.11,13197.69,12700.74,12990.25,12990.25,739591002.3,-107.84514356132298,-156.87485552002116,5.048170743442193,20.914378091260755,74.95529339312176,2020
2020-10-23,12990.25,13031.82,12732.62,12937.2,12937.2,416662855.54,-87.92162393027206,-126.0957384264663,2.6958692761957614,26.043734347463122,84.14587391398447,2020
2020-10-24,12937.2,13167.31,12886.47,13126.13,13126.13,273005904.67,-70.9833106165229,-100.60711253957719,2.5601605347501666,24.43004907006103,77.0476141863596,2020
2020-10-25,13126.13,13346.7,12910.39,13041.21,13041.21,368884232.62,-57.1907660223624,-80.98521103262009,4.023706389207771,23.270386720250656,81.91716872897533,2020
2020-10-26,13041.21,13241.79,12797.05,13069.43,13069.43,460984686.3,-46.464361611677845,-65.6400155452088,5.616006206850632,22.152993665370268,89.0517030964625,2020
2020-10-27,13069.43,13783.14,13060.64,13646.02,13646.02,603406480.39,-34.07384947840459,-52.178071932241934,0.847866264302688,22.537267276465943,93.79789858141787,2020
2021-05-16,46775.29,49808.83,43918.69,46490.71,46490.71,3693969204.75,-36.2821119766351,-25.602556717437075,-19.660530028472355,-23.55806138473686,-31.454133524740747,2021
2021-05-17,46490.71,46665.19,42130.83,43552.14,43552.14,5896147491.21,-42.84038939184738,-32.740109595535344,-13.915825950228855,-17.802959854555944,-27.898468364585526,2021
2021-05-18,43552.14,45819.36,42309.39,42886.02,42886.02,3159184422.64,-46.96846867451593,-38.9884610354695,-19.048585063384294,-21.692756753832597,-26.44073756436246,2021
2021-05-19,42886.02,43564.34,29925.2,36771.87,36771.87,11120220854.77,-54.497211372836595,-45.14704535395875,5.61812602948939,-9.144190926379336,-13.503719011298587,2021
2021-05-20,36771.87,42520.03,35009.25,40597.4,40597.4,5531454912.79,-56.46369344672973,-50.19244072148241,-5.443796893397113,-7.896614068881258,-24.01594683403371,2021
2021-05-21,40597.4,42252.07,33552.8,37350.39,37350.39,4573692788.95,-58.290534833498874,-54.05497708189528,5.206612300433822,-1.7927791383169023,-20.226937389408782,2021
2021-05-22,37350.39,38841.92,35287.71,37491.5,37491.5,2808008188.27,-59.12695340796644,-57.094598265257915,2.793539869036965,-0.40414493951961283,-14.275289065521523,2021
2021-05-23,37491.5,38304.55,31157.18,34716.84,34716.84,4494413873.1,-60.74115809513254,-58.6555849458319,2.7769808542482677,2.376195529316605,-6.963104936970055,2021
2021-05-24,34716.84,39945.35,34467.32,38837.76,38837.76,3981461441.04,-58.6309588387143,-59.19740129382804,-10.881626540768574,0.46246230472613004,-13.388619735020768,2021
2021-05-25,38837.76,39842.9,36509.09,38387.36,38387.36,2529569055.97,-55.915826931942505,-58.60372431843895,-7.098091663505912,5.572850021465392,-10.693103146452376,2021
2021-05-26,38387.36,40854.81,37855.81,39295.08,39295.08,2607759779.42,-51.98735666264404,-56.81882513210835,-5.100511310830768,2.205823222652814,-9.98890955305346,2021
2021-05-27,39295.08,40408.95,37211.84,38538.84,38538.84,1804036815.09,-49.23753015367526,-53.94291814674402,-4.814182263918676,-0.5019092427275829,-3.2936123661220673,2021
2021-05-28,38538.84,38879.6,34733.76,35680.92,35680.92,3104364367.82,-49.86158749972045,-51.75057531199556,5.313932488287865,6.73015157680914,10.694146899799684,2021
2021-05-29,35680.92,37307.1,33666.06,34611.58,34611.58,2127790128.94,-51.35950684054356,-50.61149528914583,13.342586498507147,3.521104786317175,15.654962876586387,2021
2021-05-30,34611.58,36481.62,33400.65,35662.59,35662.59,1325408340.1,-51.81475411872297,-50.56834465316556,3.361814158758536,-0.4127854987537316,12.247932637534188,2021
2021-05-31,35662.59,37512.8,34202.86,37290.83,37290.83,1821662523.97,-49.804268133825914,-50.710029148203226,-4.699359064949748,-4.528110530122287,13.249906210186246,2021
2021-06-01,37290.83,37910.19,35733.52,36683.51,36683.51,1626268789.21,-46.951024852566064,-49.98238848641463,-2.412364574709458,-13.714309235948264,13.060936644285137,2021
2021-06-02,36683.51,38225.18,35935.34,37576.98,37576.98,1494571249.19,-43.187984544480265,-47.93950791239881,-10.629167112418303,-13.410870165723809,6.104215932201051,2021
2021-06-03,37576.98,39482.46,37199.92,39229.66,39229.66,1586641442.02,-35.98592946882929,-43.982301749925384,-14.836427335847436,-14.15005890950879,-0.18131689135211237,2021
2021-06-04,39229.66,39273.49,35617.03,36861.5,36861.5,1837944242.33,-33.93687885224183,-40.01545442952936,1.4380315505337693,-5.999918614272348,3.6021323060646093,2021
2021-06-05,36861.5,37911.76,34846.16,35538.4,35538.4,1444088532.56,-35.69561126149621,-37.2016010317619,3.214494743713825,-11.09937419805056,11.818652499831162,2021
2021-06-06,35538.4,36453.81,35264.34,35798.57,35798.57,986275148.28,-37.45712322446567,-35.76888570175825,4.305786516053578,-9.75240072438648,14.217355609455918,2021
2021-06-07,35798.57,36790.39,33367.12,33582.86,33582.86,1850311020.63,-41.907059305989954,-37.249168161048416,5.833094620291424,3.3676405166206624,27.60134187499219,2021
2021-06-08,33582.86,34061.09,31034.35,33409.38,33409.38,2890313261.68,-48.289516434117665,-40.83732755651737,16.785675160688427,3.2258305900917827,33.54920085317359,2021
2021-06-09,33409.38,37528.42,32435.18,37391.58,37391.58,3249553573.38,-44.29601533997199,-42.987428576136324,8.384374236124813,-3.9853089920244056,17.212885895701646,2021
2021-06-10,37391.58,38387.2,35821.05,36680.78,36680.78,2338112083.52,-36.440904397397084,-42.733373869369174,9.490201680553145,-4.428449994792915,26.203995662033375,2021
2021-06-22,31652.62,33312.87,28908.07,32537.58,32537.58,4060734244.07,-30.777442448197796,-17.723817293831022,6.688358507301384,1.693211357451907,50.189012212955,2021
2021-06-23,32537.58,34831.93,31790.02,33678.64,33678.64,2037061709.14,-32.588198960469015,-24.536527579658024,2.4005423021832284,-2.794560587957229,46.35302969478579,2021
2021-06-24,33678.64,35267.23,32340.83,34649.84,34649.84,1311147481.02,-32.115815254578294,-29.445834707759385,3.612051311059461,-5.279504898146703,42.91858201942635,2021
2021-06-25,34649.84,35494.5,31290.25,31593.86,31593.86,3027434524.39,-34.83578767463776,-32.57931108447072,10.95950289075156,0.8659910501597423,50.948760297095696,2021
2021-06-26,31593.86,32680.58,30190.9,32307.35,32307.35,1826363014.48,-38.9030778376146,-34.61071993182492,3.8250119554838147,-2.8030463656103066,51.65725446376754,2021
2021-06-27,32307.35,34754.5,32031.15,34713.81,34713.81,2002954688.79,-35.790405755794914,-35.411271630656394,-2.6193321908485334,-9.123660007357293,34.96709234739721,2021
