date,whale_holdings_change
2020-11-01,0.0072151898734177065
2020-11-02,0.011993670886075947
2020-11-03,0.016867088607594935
2020-11-04,0.022246835443037974
2020-11-05,0.021677215189873412
2020-11-06,0.01848101265822784
2020-11-07,0.01844936708860759
2020-11-08,0.018386075949367076
2020-11-09,0.021424050632911387
2020-11-10,0.021756329113924045
2020-11-11,0.022088607594936704
2020-11-12,0.022088607594936704
2020-11-13,0.020854430379746845
2020-11-14,0.01886075949367088
2020-11-15,0.01642405063291138
2020-11-16,0.01208860759493671
2020-11-17,0.010158227848101262
2020-11-18,0.0037341772151898846
2020-11-19,0.00022151898734177776
2020-11-20,-0.003291139240506329
2020-11-21,-0.005063291139240498
2020-11-22,-0.004620253164556978
2020-11-23,-0.005506329113924053
2020-11-24,-0.005253164556962026
2020-11-25,-0.003481012658227858
2020-11-26,-0.005917721518987343
2020-11-27,-0.010632911392405067
2020-11-28,-0.011265822784810134
2020-11-29,-0.0118987341772152
2020-11-30,-0.013829113924050632
2020-12-01,-0.013829113924050632
2020-12-02,-0.013575949367088605
2020-12-03,-0.01443037974683545
2020-12-04,-0.014462025316455698
2020-12-05,-0.0125
2020-12-06,-0.008132911392405049
2020-12-07,-0.0075316455696202485
2020-12-08,-0.006930379746835449
2020-12-09,-0.008955696202531645
2020-12-10,-0.009082278481012658
2020-12-11,-0.010348101265822791
2020-12-12,-0.01648734177215191
2020-12-13,-0.01974683544303797
2020-12-14,-0.019778481012658222
2020-12-15,-0.01813291139240507
2020-12-16,-0.017056962025316463
2020-12-17,-0.015981012658227857
2020-12-18,-0.015253164556962026
2020-12-19,-0.012373417721518986
2020-12-20,-0.01265822784810128
2020-12-21,-0.013670886075949368
2020-12-22,-0.01386075949367088
2020-12-23,-0.01575949367088608
2020-12-24,-0.015917721518987342
2020-12-25,-0.016044303797468344
2020-12-26,-0.01617088607594935
2020-12-27,-0.01617088607594935
2020-12-28,-0.013417721518987341
2020-12-29,-0.013227848101265814
2020-12-30,-0.013227848101265814
2020-12-31,-0.008860759493670899
2021-01-01,-0.00924050632911392
2021-01-02,-0.008955696202531645
2021-01-03,-0.007958860759493662
2021-01-04,-0.00696202531645568
2021-01-05,-0.009462025316455697
2021-01-06,-0.011075949367088604
2021-01-07,-0.010506329113924052
2021-01-08,-0.009525316455696214
2021-01-09,-0.00848101265822784
2021-01-10,-0.008512658227848089
2021-01-11,-0.0075316455696202485
2021-01-12,-0.007911392405063288
2021-01-13,-0.009588607594936703
2021-01-14,-0.011265822784810116
2021-01-15,-0.013037974683544302
2021-01-16,-0.012974683544303804
2021-01-17,-0.01
2021-01-18,-0.008322784810126578
2021-01-19,-0.007626582278481013
2021-01-20,-0.008037974683544303
2021-01-21,-0.008512658227848089
2021-01-22,-0.008338607594936702
2021-01-23,-0.008164556962025315
2021-01-24,-0.0057278481012658315
2021-01-25,-0.006455696202531645
2021-01-26,-0.00651898734177216
2021-01-27,-0.005917721518987343
2021-01-28,-0.007753164556962027
2021-01-29,-0.011202531645569619
2021-01-30,-0.011202531645569619
2021-01-31,-0.007484177215189876
2021-02-01,-0.0037658227848101334
2021-02-02,0.0013291139240506312
2021-02-03,-0.00018987341772151112
2021-02-04,-0.004746835443037973
2021-02-05,-0.008512658227848089
2021-02-06,-0.008037974683544303
2021-02-07,-0.007215189873417725
2021-02-08,-0.008892405063291128
2021-02-09,-0.009018987341772151
2021-02-10,-0.009145569620253173
2021-02-11,-0.009018987341772143
2021-02-12,-0.00924050632911392
2021-02-13,-0.011867088607594951
2021-02-14,-0.011867088607594951
