entry_date,exit_date,entry_price,exit_price,btc_amount,entry_value,exit_value,profit,profit_pct,hold_days,exit_reason
2021-06-02,2021-06-07,37576.98,33582.86,0.2528143560232887,9500.0,8490.229124320262,-1009.7708756797383,-10.629167112418298,5,止损：亏损10.6%
2021-07-23,2022-05-09,33637.92,30076.9,0.2539014798805707,8540.717668104247,7636.5694202199375,-904.14824788431,-10.586326384033258,290,止损：亏损10.6%
2022-05-14,2022-06-12,30050.31,26587.35,0.2556305353460298,7681.776832614153,6796.538513932265,-885.2383186818879,-11.523874462526349,29,止损：亏损11.5%
2022-06-25,2022-07-01,21474.19,19249.33,0.318559183366933,6840.800429866359,6132.050845160605,-708.7495847057544,-10.36062361374282,6,止损：亏损10.4%
2022-07-02,2022-11-09,19225.66,15820.02,0.3207946215836488,6167.488324395893,5074.977329345756,-1092.5109950501374,-17.71403426462342,130,止损：亏损17.7%
