date,price,total_value,position,position_type,peak,dd
2021-01-17,35839.51,10000.0,0.0,,10000.0,0.0
2021-01-18,36623.04,10000.0,0.0,,10000.0,0.0
2021-01-19,35932.79,10000.0,0.0,,10000.0,0.0
2021-01-20,35501.38,10000.0,0.0,,10000.0,0.0
2021-01-21,30840.3,10000.0,0.0,,10000.0,0.0
2021-01-22,33008.02,10000.0,0.0,,10000.0,0.0
2021-01-23,32107.29,10000.0,0.0,,10000.0,0.0
2021-01-24,32283.66,10000.0,0.0,,10000.0,0.0
2021-01-25,32275.27,10000.0,0.0,,10000.0,0.0
2021-01-26,32516.52,10000.0,0.0,,10000.0,0.0
2021-01-27,30423.05,10000.0,0.0,,10000.0,0.0
2021-01-28,33443.87,10000.0,0.0,,10000.0,0.0
2021-01-29,34252.08,10000.0,0.0,,10000.0,0.0
2021-01-30,34317.82,10000.0,0.0,,10000.0,0.0
2021-01-31,33143.22,10000.0,0.0,,10000.0,0.0
2021-02-01,33535.94,10000.0,0.0,,10000.0,0.0
2021-02-02,35524.43,10000.0,0.0,,10000.0,0.0
2021-02-03,37677.34,10000.0,0.0,,10000.0,0.0
2021-02-04,36983.42,10000.0,0.0,,10000.0,0.0
2021-02-05,38310.24,10000.0,0.0,,10000.0,0.0
2021-02-06,39267.01,10000.0,0.0,,10000.0,0.0
2021-02-07,38868.82,10000.0,0.0,,10000.0,0.0
2021-02-08,46437.41,10000.0,0.0,,10000.0,0.0
2021-02-09,46509.57,10000.0,0.0,,10000.0,0.0
2021-02-10,44854.95,10000.0,0.0,,10000.0,0.0
2021-02-11,48006.18,10000.0,0.0,,10000.0,0.0
2021-02-12,47435.54,10000.0,0.0,,10000.0,0.0
2021-02-13,47222.32,10000.0,0.0,,10000.0,0.0
2021-02-14,48652.87,10000.0,0.0,,10000.0,0.0
2021-02-15,47936.51,10000.0,0.0,,10000.0,0.0
2021-02-16,49184.63,10000.0,0.0,,10000.0,0.0
2021-02-17,52154.91,10000.0,0.0,,10000.0,0.0
2021-02-18,51591.61,10000.0,0.0,,10000.0,0.0
2021-02-19,55933.47,10000.0,0.0,,10000.0,0.0
2021-02-20,55900.84,10000.0,0.0,,10000.0,0.0
