date,price,total_value,position,position_levels,peak,dd
2022-05-01,38480.53,-5317.25,0,0,12769.68,-141.6396495448594
2022-05-02,38513.01,-5317.25,0,0,12769.68,-141.6396495448594
2022-05-03,37725.38,-5317.25,0,0,12769.68,-141.6396495448594
2022-05-04,39680.21,-5317.25,1,1,12769.68,-141.6396495448594
2022-05-06,36009.89,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-07,35469.21,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-08,34033.77,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-09,30076.9,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-10,31013.12,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-11,29017.21,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-12,28915.72,-8450.599999999999,0,0,12769.68,-166.1770694332199
2022-05-13,29244.83,-8450.599999999999,1,1,12769.68,-166.1770694332199
2022-05-15,31296.11,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-16,29838.5,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-17,30415.91,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-18,28667.29,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-19,30282.48,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-20,29166.15,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-21,29410.72,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-22,30264.29,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-23,29075.68,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-24,29630.05,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-25,29508.27,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-26,29188.71,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-27,28597.33,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-28,29013.53,-7645.119999999999,0,0,12769.68,-159.86931544095074
2022-05-29,29452.23,-7645.119999999999,1,1,12769.68,-159.86931544095074
2022-05-31,31782.16,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-01,29789.58,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-02,30439.63,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-03,29680.3,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-04,29845.48,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-05,29897.9,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-06,31353.78,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-07,31111.75,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-08,30189.27,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-09,30082.94,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-10,29067.38,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-11,28389.49,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-12,26587.35,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-13,22471.59,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-14,22118.37,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-15,22566.73,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-16,20372.85,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-17,20432.26,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-18,18954.25,-5380.939999999999,0,0,12769.68,-142.13840910657117
2022-06-19,20553.48,-5380.939999999999,1,1,12769.68,-142.13840910657117
2022-06-21,20699.21,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-22,19956.16,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-23,21098.41,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-24,21219.46,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-25,21474.19,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-26,21031.85,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-27,20718.16,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-28,20251.96,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-29,20094.16,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-06-30,19908.49,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-07-01,19249.33,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-07-02,19225.66,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-07-03,19294.21,-5383.509999999998,0,0,12769.68,-142.15853490455515
2022-07-04,20212.81,-5383.509999999998,1,1,12769.68,-142.15853490455515
2022-07-06,20545.04,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-07,21611.8,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-08,21592.65,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-09,21582.17,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-10,20846.53,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-11,19944.25,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-12,19309.71,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-13,20230.81,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-14,20577.38,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-15,20827.27,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-16,21199.01,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-17,20792.81,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-18,22447.39,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-19,23399.91,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-20,23222.77,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-21,23153.54,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-22,22686.32,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-23,22452.14,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-24,22585.4,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-25,21305.59,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-26,21258.08,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-27,22960.19,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-28,23855.65,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-29,23769.15,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-30,23646.03,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-07-31,23308.14,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-01,23271.57,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-02,22991.49,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-03,22825.25,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-04,22622.99,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-05,23319.22,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-06,22956.4,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-07,23179.86,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-08,23817.72,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-09,23156.66,-5437.630000000001,0,0,12769.68,-142.58235131968854
2022-08-10,23959.67,-5437.630000000001,0,0,12769.68,-142.58235131968854
